27851,-0.0356,0.0350,0.9940,0.2013,0.0525,0.2625,stationary
27951,-0.0344,0.0334,0.9957,0.1663,0.0175,0.2537,stationary
28051,-0.0354,0.0354,0.9945,0.1312,0.0525,0.1750,stationary
28151,-0.0353,0.0340,0.9943,0.2013,0.0262,0.2975,stationary
28251,-0.0354,0.0337,0.9928,0.1575,0.1750,0.2362,stationary
28351,-0.0359,0.0337,0.9929,0.1225,-0.0525,0.2275,stationary
28451,-0.0347,0.0346,0.9928,0.1663,0.0525,0.2362,stationary
28551,-0.0368,0.0342,0.9929,0.1663,0.0437,0.2362,stationary
28651,-0.0349,0.0343,0.9950,0.2100,0.0088,0.2450,stationary
28751,-0.0349,0.0346,0.9933,0.2100,0.0787,0.2450,stationary
28851,-0.0352,0.0349,0.9944,0.1488,0.0525,0.2713,stationary
28951,-0.0351,0.0342,0.9936,0.1925,-0.0175,0.2188,stationary
29051,-0.0351,0.0352,0.9928,0.2800,0.1663,0.1750,stationary
29151,-0.0349,0.0342,0.9928,0.2100,0.0700,0.3413,stationary
29251,-0.0364,0.0350,0.9938,0.1225,0.0700,0.2100,stationary
29351,-0.0350,0.0343,0.9951,0.0262,0.2188,0.2450,stationary
29451,-0.0344,0.0337,0.9946,0.1400,0.1050,0.2100,stationary
29551,-0.0351,0.0347,0.9929,0.2100,0.0525,0.1750,stationary
29651,-0.0361,0.0339,0.9931,0.1225,0.0350,0.1838,stationary
29751,-0.0354,0.0339,0.9946,0.1488,0.1138,0.1750,stationary
29851,-0.0356,0.0334,0.9936,0.2275,0.1225,0.2188,stationary
29951,-0.0363,0.0335,0.9931,0.1488,0.0962,0.1575,stationary
30051,-0.0356,0.0323,0.9926,0.1138,0.0525,0.1750,stationary
30151,-0.0361,0.0332,0.9933,0.1575,0.0175,0.2625,stationary
30251,-0.0349,0.0350,0.9948,0.2100,0.0088,0.2275,stationary
30351,-0.0347,0.0335,0.9934,0.1312,0.0525,0.2537,stationary
30451,-0.0352,0.0347,0.9933,0.2450,0.0000,0.2450,stationary
30551,-0.0347,0.0337,0.9919,0.1750,0.0962,0.2625,stationary
30651,-0.0356,0.0340,0.9955,0.1838,0.0350,0.1925,stationary
30751,-0.0356,0.0346,0.9926,0.2362,0.0875,0.2713,stationary
30851,-0.0348,0.0339,0.9933,0.1488,0.0437,0.2188,stationary
30951,-0.0359,0.0336,0.9935,0.1925,0.0962,0.2013,stationary
31051,-0.0344,0.0344,0.9927,0.1050,0.0613,0.2450,stationary
31151,-0.0364,0.0337,0.9953,0.1663,0.0613,0.1925,stationary
31251,-0.0359,0.0354,0.9945,0.2188,0.1400,0.2450,stationary
31351,-0.0348,0.0342,0.9931,0.1400,0.0700,0.2537,stationary
