x_g,y_g,z_g,x_dps,y_dps,z_dps,orientation
124,-0.0349,0.0336,0.9952,0.1838,0.0613,0.2713,stationary_z_up
125,-0.0351,0.0347,0.9926,0.1575,0.0787,0.2537,stationary_z_up
126,-0.0354,0.0341,0.9931,0.2188,0.0525,0.2275,stationary_z_up
127,-0.0346,0.0357,0.995,0.1838,-0.0088,0.2013,stationary_z_up
128,-0.0356,0.0337,0.9935,0.21,0.0262,0.2188,stationary_z_up
129,-0.0361,0.0344,0.9938,0.2013,0.0088,0.245,stationary_z_up
130,-0.0354,0.0349,0.9933,0.14,0.035,0.2188,stationary_z_up
131,-0.0365,0.0334,0.9936,0.2013,0.0437,0.2275,stationary_z_up
132,-0.0356,0.0334,0.9941,0.1575,-0.0088,0.2362,stationary_z_up
133,-0.0359,0.0344,0.9935,0.1225,0.105,0.2362,stationary_z_up
134,-0.0361,0.0345,0.9942,0.175,0.0525,0.2188,stationary_z_up
135,-0.0356,0.0336,0.9936,0.1663,0.1312,0.2013,stationary_z_up
136,-0.0354,0.0351,0.9941,0.14,0.1225,0.2188,stationary_z_up
137,-0.0362,0.0344,0.9941,0.175,-0.0437,0.245,stationary_z_up
138,-0.0356,0.0354,0.9928,0.1575,0.0525,0.2887,stationary_z_up
139,-0.0357,0.0339,0.9948,0.1925,0.035,0.2625,stationary_z_up
140,-0.0352,0.0345,0.9943,0.245,-0.0525,0.245,stationary_z_up
141,-0.0364,0.0334,0.9933,0.14,0.1138,0.2275,stationary_z_up
142,-0.0356,0.0346,0.9931,0.1838,0.035,0.1663,stationary_z_up
143,-0.0359,0.0336,0.9945,0.2013,0.0437,0.2013,stationary_z_up
144,-0.0354,0.0346,0.9933,0.1575,0,0.1925,stationary_z_up
145,-0.0354,0.0329,0.9941,0.21,0.1225,0.1663,stationary_z_up
146,-0.0348,0.0349,0.9941,0.1312,0.0525,0.2188,stationary_z_up
147,-0.0351,0.032,0.9938,0.2013,0.1663,0.2713,stationary_z_up
148,-0.0361,0.0344,0.9946,0.21,-0.0175,0.2275,stationary_z_up
149,-0.0364,0.0346,0.9933,0.1225,0.0613,0.28,stationary_z_up
150,-0.0344,0.0349,0.9936,0.0875,0.0262,0.2625,stationary_z_up
