x_g,y_g,z_g,x_dps,y_dps,z_dps,orientation
698,0.9933,0.0353,0.0354,0.21,-0.0613,0.2013,stationary_x_up
699,0.9943,0.0342,0.0349,0.0962,0.0175,0.245,stationary_x_up
700,0.9941,0.0351,0.0361,0.105,0.0525,0.2188,stationary_x_up
701,0.9935,0.0342,0.0361,0.1575,0.1575,0.2625,stationary_x_up
702,0.9934,0.0335,0.0368,0.2275,-0.1138,0.2713,stationary_x_up
703,0.9946,0.0344,0.0344,0.175,0,0.245,stationary_x_up
704,0.9941,0.0345,0.0349,0.2188,0.0175,0.2188,stationary_x_up
705,0.9928,0.0351,0.0364,0.2188,0.14,0.2537,stationary_x_up
706,0.9945,0.0344,0.0354,0.0525,0.07,0.1575,stationary_x_up
707,0.9928,0.0349,0.0364,0.175,0.0175,0.2537,stationary_x_up
708,0.9945,0.0353,0.0349,0.1225,0.0962,0.3237,stationary_x_up
709,0.995,0.035,0.0346,0.35,0.0437,0.2713,stationary_x_up
710,0.9933,0.0351,0.0344,0.2537,0.0962,0.2625,stationary_x_up
711,0.9947,0.0344,0.0351,0.1575,0.0088,0.1925,stationary_x_up
712,0.9948,0.0344,0.0344,0.245,-0.0437,0.2362,stationary_x_up
713,0.9943,0.0342,0.0356,0.105,0.0175,0.21,stationary_x_up
714,0.9933,0.0342,0.0361,0.1663,0.0875,0.2362,stationary_x_up
715,0.9942,0.0344,0.0363,0.1575,0.105,0.1838,stationary_x_up
716,0.9938,0.0345,0.0356,0.1312,-0.0175,0.2537,stationary_x_up
717,0.9947,0.0342,0.0351,0.2625,0.0525,0.245,stationary_x_up
718,0.9926,0.034,0.0351,0.1663,0.0962,0.175,stationary_x_up
719,0.9936,0.0342,0.0347,0.21,0.0525,0.2713,stationary_x_up
720,0.9945,0.0353,0.0353,0.1225,0.0613,0.2275,stationary_x_up
721,0.9942,0.0335,0.035,0.1312,0.0962,0.1925,stationary_x_up
722,0.9953,0.0337,0.0346,0.1663,0,0.21,stationary_x_up
723,0.9933,0.0335,0.0354,0.2625,0.1312,0.1663,stationary_x_up
724,0.9936,0.0332,0.035,0.1925,0.0437,0.2188,stationary_x_up
725,0.9939,0.0334,0.0356,0.0787,0.0088,0.245,stationary_x_up
726,0.9929,0.0346,0.0344,0.2537,0.1225,0.2362,stationary_x_up
727,0.9923,0.0339,0.0361,0.2013,0.0962,0.2362,stationary_x_up
728,0.9933,0.0339,0.0356,0.21,0.0787,0.245,stationary_x_up
729,0.9948,0.0332,0.0352,0.2362,0.105,0.2188,stationary_x_up
730,0.9933,0.0346,0.0351,0.2275,0.0175,0.245,stationary_x_up
731,0.9948,0.0337,0.0352,0.1138,0.035,0.2537,stationary_x_up
732,0.9947,0.0335,0.0351,0.1575,0.0613,0.2013,stationary_x_up
733,0.9936,0.0352,0.0349,0.14,0.0962,0.2887,stationary_x_up
734,0.9935,0.0334,0.0364,0.245,0.07,0.2713,stationary_x_up
735,0.9931,0.0345,0.035,0.1663,-0.0262,0.21,stationary_x_up
736,0.9928,0.0345,0.035,0.0525,0,0.245,stationary_x_up
737,0.9944,0.0334,0.0356,0.14,0.0613,0.21,stationary_x_up
738,0.9933,0.0342,0.0354,0.175,-0.0262,0.2275,stationary_x_up
739,0.995,0.0345,0.0351,0.1575,0.105,0.1925,stationary_x_up
740,0.9922,0.0334,0.0365,0.1925,0.0262,0.245,stationary_x_up
741,0.9936,0.0346,0.0356,0.1488,0.035,0.2537,stationary_x_up
742,0.9944,0.0334,0.0354,0.2188,0.1663,0.2362,stationary_x_up
743,0.9933,0.0336,0.0347,0.175,-0.0088,0.1925,stationary_x_up
744,0.9917,0.0332,0.0356,0.14,0.07,0.2625,stationary_x_up
745,0.9948,0.0334,0.0364,0.2275,0,0.2713,stationary_x_up
746,0.9939,0.0339,0.035,0.2537,0.14,0.2275,stationary_x_up
747,0.9943,0.0342,0.0349,0.2537,0.0787,0.28,stationary_x_up
748,0.9938,0.0336,0.0349,0.1838,0.105,0.1925,stationary_x_up
749,0.9946,0.0344,0.0342,0.2275,0.175,0.21,stationary_x_up
750,0.9939,0.0351,0.0367,0.1575,0.07,0.2188,stationary_x_up
751,0.9953,0.0339,0.0352,0.1488,0.1225,0.2975,stationary_x_up
752,0.9942,0.0348,0.0358,0.2188,0.1225,0.2188,stationary_x_up
753,0.9919,0.0334,0.0348,0.2013,0.0962,0.2275,stationary_x_up
754,0.9923,0.0339,0.0346,0.0962,0.0088,0.2362,stationary_x_up
755,0.9941,0.0346,0.0348,0.2013,0.07,0.2362,stationary_x_up
756,0.9926,0.0347,0.035,0.175,0,0.2713,stationary_x_up
757,0.9951,0.0346,0.0346,0.07,0.1138,0.1838,stationary_x_up
758,0.9926,0.0343,0.0362,0.0875,-0.0613,0.245,stationary_x_up
759,0.9934,0.0337,0.0346,0.2013,-0.035,0.2625,stationary_x_up
760,0.9936,0.0332,0.0368,0.1925,0.07,0.245,stationary_x_up
761,0.9941,0.0334,0.035,0.2013,0.0875,0.2887,stationary_x_up
762,0.9935,0.0342,0.0361,0.1575,0.0175,0.2013,stationary_x_up
763,0.9943,0.0339,0.0345,0.105,0.0437,0.2625,stationary_x_up
764,0.9936,0.0335,0.0351,0.2013,0.07,0.2188,stationary_x_up
765,0.9948,0.0337,0.0342,0.0962,0.0787,0.2625,stationary_x_up
766,0.9936,0.0337,0.0349,0.1138,0.0175,0.245,stationary_x_up
767,0.9933,0.0351,0.0344,0.2188,0.0437,0.2713,stationary_x_up
768,0.9943,0.0349,0.0356,0.2188,0.0962,0.1925,stationary_x_up
769,0.9931,0.0331,0.0351,0.0613,0.035,0.1838,stationary_x_up
770,0.9933,0.0345,0.0357,0.1838,0.0962,0.2887,stationary_x_up
771,0.9936,0.0349,0.0357,0.2537,0.0437,0.2013,stationary_x_up
772,0.9944,0.0347,0.0356,0.2188,0.07,0.2362,stationary_x_up
773,0.9925,0.0336,0.0359,0.1575,0.0088,0.2537,stationary_x_up
774,0.9962,0.035,0.0356,0.2188,0.0437,0.245,stationary_x_up
775,0.9945,0.0346,0.0352,0.2013,0.1138,0.2625,stationary_x_up
776,0.9931,0.0354,0.0345,0.14,0.035,0.21,stationary_x_up
777,0.9931,0.0329,0.0351,0.1663,0.0787,0.2362,stationary_x_up
778,0.9933,0.0336,0.0362,0.1575,0.0525,0.3063,stationary_x_up
779,0.9921,0.0346,0.0359,0.2188,-0.035,0.2537,stationary_x_up
780,0.9941,0.0341,0.0346,0.1838,-0.0262,0.2188,stationary_x_up
781,0.9931,0.034,0.0349,0.1838,0.0262,0.2887,stationary_x_up
782,0.9933,0.0345,0.0362,0.21,0.0262,0.2362,stationary_x_up
