index,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,segment_id,time_sec,segment_time_sec
86,3352502,-0.138,0.0222,1.0053,-0.7525,0.2975,0.4288,1000.303,smooth_accel_decel,0,5.16,5.16
87,3352562,-0.1439,0.0657,0.966,-1.1812,-0.0525,0.35,1000.2808,smooth_accel_decel,0,5.22,5.22
88,3352622,-0.1642,-0.0293,1.0543,0.0962,1.1638,0.4462,1000.2844,smooth_accel_decel,0,5.28,5.28
89,3352682,-0.1737,-0.0046,0.9784,0.9275,0.5075,-0.3762,1000.27,smooth_accel_decel,0,5.34,5.34
90,3352742,-0.1776,-0.004,0.963,0.0437,0.2188,0.0175,1000.2856,smooth_accel_decel,0,5.4,5.4
91,3352802,-0.185,0.0297,0.9957,0.2275,1.015,0.7262,1000.2627,smooth_accel_decel,0,5.46,5.46
92,3352862,-0.172,0.0325,0.9565,0.7613,1.0325,0.1575,1000.2625,smooth_accel_decel,0,5.52,5.52
93,3352922,-0.1503,-0.0237,1.0021,0.6913,0.0525,0.2013,1000.2688,smooth_accel_decel,0,5.58,5.58
94,3352982,-0.1304,0.0054,1.0355,0.5775,-0.6913,0.3675,1000.2573,smooth_accel_decel,0,5.64,5.64
95,3353042,-0.1235,0.0629,0.9889,-1.295,-0.3938,0.6475,1000.2659,smooth_accel_decel,0,5.7,5.7
96,3353102,-0.121,0.0176,1.0116,-1.0938,-0.5512,0.385,1000.2585,smooth_accel_decel,0,5.76,5.76
97,3353162,-0.1578,0.0254,0.9999,-0.2887,-0.1225,0.0962,1000.2593,smooth_accel_decel,0,5.82,5.82
98,3353222,-0.1601,-0.0446,0.9367,0.2275,0.315,0.0787,1000.2637,smooth_accel_decel,0,5.88,5.88
99,3353282,-0.1351,0.0406,0.9828,-0.1575,-0.21,0.07,1000.2585,smooth_accel_decel,0,5.94,5.94
100,3353342,-0.1291,0.0269,1.1094,1.6537,-0.0175,0.7,1000.2451,smooth_accel_decel,0,6.0,6.0
101,3353402,-0.1562,0.0212,0.9609,-0.9887,-1.575,0.42,1000.2473,smooth_accel_decel,0,6.06,6.06
102,3353462,-0.1257,-0.0422,0.9755,-0.525,1.0325,0.0875,1000.2571,smooth_accel_decel,0,6.12,6.12
103,3353522,-0.1586,0.0927,1.0209,-0.7,0.28,0.2537,1000.2507,smooth_accel_decel,0,6.18,6.18
104,3353582,-0.1828,-0.0285,1.0495,1.3563,2.17,0.2537,1000.2444,smooth_accel_decel,0,6.24,6.24
105,3353642,-0.1479,-0.0551,0.9877,-0.0962,0.1312,0.3325,1000.2466,smooth_accel_decel,0,6.3,6.3
106,3353702,-0.1493,0.0093,0.945,0.4812,1.12,-0.035,1000.2402,smooth_accel_decel,0,6.36,6.36
107,3353762,-0.1266,0.0149,0.9837,0.4812,0.9187,0.2975,1000.2437,smooth_accel_decel,0,6.42,6.42
108,3353822,-0.1871,-0.0017,0.945,-0.9712,-0.7525,0.6037,1000.2258,smooth_accel_decel,0,6.48,6.48
109,3353882,-0.1976,0.0117,0.9035,-0.9887,0.8138,0.6212,1000.2278,smooth_accel_decel,0,6.54,6.54
110,3353942,-0.1135,-0.0221,0.9367,-1.7587,-2.1088,0.07,1000.2263,smooth_accel_decel,0,6.6,6.6
111,3354002,-0.1389,-0.0359,1.0651,-0.595,0.84,-0.105,1000.2263,smooth_accel_decel,0,6.66,6.66
112,3354062,-0.1496,-0.0322,0.9267,0.8225,-2.2662,0.21,1000.2305,smooth_accel_decel,0,6.72,6.72
113,3354122,-0.1011,0.0866,1.0268,-1.0675,-0.245,0.2275,1000.2249,smooth_accel_decel,0,6.78,6.78
114,3354182,-0.1232,0.072,1.0043,0.6037,-0.665,-0.1663,1000.2117,smooth_accel_decel,0,6.84,6.84
115,3354242,-0.1066,0.007,1.0424,3.4037,1.6013,-0.0613,1000.2122,smooth_accel_decel,0,6.9,6.9
116,3354302,-0.1595,-0.1205,0.9136,2.7387,-1.3913,-0.35,1000.21,smooth_accel_decel,0,6.96,6.96
117,3354362,-0.0044,0.0884,1.0735,1.7763,0.9975,0.21,1000.188,smooth_accel_decel,0,7.02,7.02
118,3354422,-0.043,0.1421,1.1792,0.1488,1.925,1.0412,1000.1877,smooth_accel_decel,0,7.08,7.08
119,3354482,-0.1566,0.1381,0.9104,-1.4963,0.035,0.8662,1000.1843,smooth_accel_decel,0,7.14,7.14
120,3354542,-0.1484,-0.0532,0.9653,-1.995,0.805,0.9013,1000.1926,smooth_accel_decel,0,7.2,7.2
121,3354602,-0.0988,-0.0576,0.9633,-3.3863,2.1437,0.49,1000.1687,smooth_accel_decel,0,7.26,7.26
122,3354662,-0.182,0.0051,1.1173,-1.4,2.5988,0.4375,1000.1653,smooth_accel_decel,0,7.32,7.32
123,3354722,-0.0659,0.0687,1.0515,-0.4112,0.665,0.4638,1000.1619,smooth_accel_decel,0,7.38,7.38
124,3354782,-0.1288,0.0256,1.0423,-1.7763,0.7437,0.91,1000.1504,smooth_accel_decel,0,7.44,7.44
125,3354842,-0.0976,-0.073,0.9218,2.8087,-1.3737,0.1312,1000.1514,smooth_accel_decel,0,7.5,7.5
126,3354902,-0.123,0.0693,0.9679,5.2675,-0.6562,0.49,1000.1284,smooth_accel_decel,0,7.56,7.56
127,3354962,-0.088,0.0466,1.1595,2.0387,4.2613,0.1838,1000.1279,smooth_accel_decel,0,7.62,7.62
128,3355022,-0.1425,0.0517,1.0414,2.2838,-0.0262,1.1988,1000.1343,smooth_accel_decel,0,7.68,7.68
129,3355082,-0.223,0.1994,0.9158,-2.17,1.7325,0.14,1000.1223,smooth_accel_decel,0,7.74,7.74
130,3355142,-0.1242,-0.0395,0.9489,-3.0013,-0.035,-0.735,1000.1213,smooth_accel_decel,0,7.8,7.8
131,3355202,0.0049,0.149,1.257,1.3212,3.9987,0.665,1000.1167,smooth_accel_decel,0,7.86,7.86
132,3355262,-0.0656,-0.0724,1.1167,0.6825,2.9662,-0.6037,1000.114,smooth_accel_decel,0,7.92,7.92
133,3355322,-0.1645,0.1643,0.8625,-0.28,0.56,-0.4462,1000.1201,smooth_accel_decel,0,7.98,7.98
134,3355382,-0.2257,-0.0112,0.8269,0.7,0.385,-0.0262,1000.0977,smooth_accel_decel,0,8.04,8.04
135,3355442,-0.0825,0.1564,1.121,1.6975,1.9075,0.1575,1000.0859,smooth_accel_decel,0,8.1,8.1
136,3355502,0.0149,-0.0707,1.0494,1.365,4.9,0.2275,1000.095,smooth_accel_decel,0,8.16,8.16
137,3355562,-0.0632,0.0268,0.9276,-0.1138,1.7413,-0.7262,1000.1226,smooth_accel_decel,0,8.22,8.22
138,3355622,-0.07,0.1136,0.9548,1.1113,-1.6625,-0.6913,1000.1091,smooth_accel_decel,0,8.28,8.28
139,3355682,-0.0728,0.0661,0.9374,1.7062,-3.22,0.6737,1000.0991,smooth_accel_decel,0,8.34,8.34
140,3355742,0.0223,0.1803,1.362,2.0387,0.4812,0.0175,1000.1086,smooth_accel_decel,0,8.4,8.4
141,3355802,-0.0397,0.0076,1.1676,-0.525,0.5337,0.6825,1000.0898,smooth_accel_decel,0,8.46,8.46
142,3355862,-0.1774,0.0198,1.0605,2.38,1.9863,-0.245,1000.0894,smooth_accel_decel,0,8.52,8.52
143,3355922,-0.0114,0.1164,1.1882,2.6512,-5.845,0.2975,1000.105,smooth_accel_decel,0,8.58,8.58
144,3355982,-0.2599,-0.04,1.0117,-2.2487,3.745,-0.14,1000.0896,smooth_accel_decel,0,8.64,8.64
145,3356042,-0.2425,-0.0075,0.6847,0.595,-0.4725,-1.2862,1000.0767,smooth_accel_decel,0,8.7,8.7
146,3356102,-0.1039,0.1371,1.0758,-3.5438,-1.9162,-0.8313,1000.0742,smooth_accel_decel,0,8.76,8.76
147,3356162,-0.294,-0.1216,0.7518,3.5262,-2.2487,-0.8138,1000.0754,smooth_accel_decel,0,8.82,8.82
148,3356222,-0.3003,-0.1013,0.6242,-0.805,-1.4963,-0.1925,1000.052,smooth_accel_decel,0,8.88,8.88
149,3356282,-0.1535,-0.0883,1.0113,0.4462,-0.5863,-0.63,1000.0623,smooth_accel_decel,0,8.94,8.94
150,3356342,-0.3157,0.0869,0.9259,-0.9712,0.7525,-0.8313,1000.0481,smooth_accel_decel,0,9.0,9.0
151,3356402,-0.1557,-0.0647,1.0766,1.225,-1.1638,0.0088,1000.0344,smooth_accel_decel,0,9.06,9.06
