index,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,segment_id
29,3349082,0.0220,0.0141,1.0031,0.2100,0.1663,0.2188,1000.3293,smooth_accel_decel,0
30,3349142,0.0180,0.0078,0.9921,0.3063,0.0437,0.1663,1000.3259,smooth_accel_decel,0
31,3349202,0.0213,0.0130,0.9989,0.1925,0.0787,0.1488,1000.3320,smooth_accel_decel,0
32,3349262,0.0171,0.0117,0.9906,0.2713,0.1488,0.2013,1000.3252,smooth_accel_decel,0
33,3349322,0.0198,0.0084,0.9975,0.2013,0.0262,0.1225,1000.3318,smooth_accel_decel,0
34,3349382,0.0185,0.0090,0.9950,0.2713,0.1312,0.1400,1000.3340,smooth_accel_decel,0
35,3349442,0.0183,0.0131,0.9928,0.2713,0.0350,0.1925,1000.3254,smooth_accel_decel,0
36,3349502,0.0188,0.0090,0.9935,0.2100,0.1050,0.1225,1000.3232,smooth_accel_decel,0
37,3349562,0.0188,0.0114,0.9980,0.1750,0.0437,0.1488,1000.3330,smooth_accel_decel,0
38,3349622,0.0166,0.0092,0.9919,0.2537,0.0962,0.1575,1000.3250,smooth_accel_decel,0
39,3349682,0.0190,0.0112,0.9958,0.2100,0.0700,0.2013,1000.3311,smooth_accel_decel,0
40,3349742,0.0193,0.0098,0.9953,0.3063,0.0875,0.1750,1000.3235,smooth_accel_decel,0
41,3349802,0.0162,0.0121,0.9919,0.1925,0.1050,0.1575,1000.3262,smooth_accel_decel,0
42,3349862,0.0167,0.0122,0.9970,0.3413,0.1050,0.1225,1000.3279,smooth_accel_decel,0
43,3349922,0.0174,0.0105,0.9919,0.3237,0.0613,0.1750,1000.3298,smooth_accel_decel,0
44,3349982,0.0201,0.0063,0.9963,0.1488,0.0787,0.2013,1000.3284,smooth_accel_decel,0
45,3350042,0.0173,0.0131,0.9933,0.2713,0.1400,0.0613,1000.3262,smooth_accel_decel,0
46,3350102,0.0185,0.0073,0.9946,0.2625,0.0525,0.2100,1000.3315,smooth_accel_decel,0
47,3350162,0.0184,0.0103,0.9964,0.2625,0.0088,0.1312,1000.3259,smooth_accel_decel,0
48,3350222,0.0183,0.0115,0.9945,0.3413,0.1488,0.1838,1000.3206,smooth_accel_decel,0
49,3350282,0.0187,0.0106,1.0011,0.3325,0.1488,0.1663,1000.3279,smooth_accel_decel,0
50,3350342,0.0185,0.0085,0.9956,0.3237,-0.0262,0.1050,1000.3337,smooth_accel_decel,0
51,3350402,0.0168,0.0099,0.9902,0.2013,0.0437,0.2537,1000.3318,smooth_accel_decel,0
52,3350462,0.0188,0.0093,0.9946,0.2188,-0.0175,0.2013,1000.3198,smooth_accel_decel,0
53,3350522,0.0180,0.0115,0.9955,0.3063,0.1225,0.1925,1000.3228,smooth_accel_decel,0
54,3350582,0.0193,0.0078,0.9975,0.3413,0.1575,0.1925,1000.3254,smooth_accel_decel,0
55,3350642,0.0253,0.0093,0.9914,0.2537,-0.0350,0.0962,1000.3281,smooth_accel_decel,0
56,3350702,0.0154,0.0054,0.9867,0.1575,-0.0875,0.2100,1000.3223,smooth_accel_decel,0
57,3350762,0.0113,0.0154,0.9945,0.2100,0.0525,0.1312,1000.3313,smooth_accel_decel,0
58,3350822,-0.0112,0.0106,0.9426,-0.3762,1.0237,0.1488,1000.3213,smooth_accel_decel,0
59,3350882,0.0212,0.0054,1.0333,0.7350,-0.0962,0.1663,1000.3286,smooth_accel_decel,0
60,3350942,0.0063,0.0051,0.9668,-0.0088,0.2450,0.0700,1000.3254,smooth_accel_decel,0
61,3351002,-0.0108,0.0044,0.9960,0.2362,0.4900,0.1312,1000.3123,smooth_accel_decel,0
62,3351062,-0.0310,0.0134,1.0053,0.3150,0.7262,0.2537,1000.3291,smooth_accel_decel,0
63,3351122,-0.0564,0.0156,1.0013,0.3325,0.7875,0.1663,1000.3342,smooth_accel_decel,0
64,3351182,-0.0671,0.0112,0.9992,0.4550,0.7437,0.1138,1000.3145,smooth_accel_decel,0
65,3351242,-0.0816,0.0129,1.0002,0.4725,0.7000,0.0525,1000.3320,smooth_accel_decel,0
66,3351302,-0.0938,0.0207,1.0030,0.4375,0.7088,0.1138,1000.3208,smooth_accel_decel,0
67,3351362,-0.1042,0.0129,1.0008,0.4988,0.7788,0.1225,1000.3308,smooth_accel_decel,0
68,3351422,-0.1259,0.0163,0.9864,0.4375,0.6475,0.1138,1000.3147,smooth_accel_decel,0
69,3351482,-0.1346,0.0224,1.0060,0.6212,0.5775,0.2188,1000.3284,smooth_accel_decel,0
70,3351542,-0.1455,0.0208,0.9860,0.5163,0.4725,0.1488,1000.3223,smooth_accel_decel,0
71,3351602,-0.1587,0.0181,0.9783,0.2887,0.9800,0.2013,1000.3154,smooth_accel_decel,0
72,3351662,-0.1615,0.0493,0.9507,0.7525,1.3388,0.0088,1000.3203,smooth_accel_decel,0
73,3351722,-0.0898,-0.0666,1.1290,0.0175,-1.4438,0.2625,1000.3152,smooth_accel_decel,0
74,3351782,-0.1587,0.0550,0.9645,0.7262,0.1663,0.0262,1000.3235,smooth_accel_decel,0
75,3351842,-0.1594,0.0107,0.9884,-0.5425,0.0437,0.1663,1000.3120,smooth_accel_decel,0
76,3351902,-0.1376,0.0193,0.9997,-0.1400,0.1050,0.3413,1000.3130,smooth_accel_decel,0
77,3351962,-0.1501,0.0090,1.0056,-0.2450,0.5337,0.3675,1000.3157,smooth_accel_decel,0
78,3352022,-0.1570,0.0095,0.9897,0.7262,0.3413,-0.0262,1000.3071,smooth_accel_decel,0
79,3352082,-0.1467,0.0117,0.9820,0.4375,0.1225,0.1400,1000.3057,smooth_accel_decel,0
80,3352142,-0.1481,0.0371,1.0038,0.7175,0.4200,0.4112,1000.3054,smooth_accel_decel,0
81,3352202,-0.1457,0.0420,0.9959,1.1113,0.3675,0.3850,1000.3093,smooth_accel_decel,0
82,3352262,-0.1607,0.0053,0.9901,-0.2100,0.2975,0.3063,1000.3042,smooth_accel_decel,0
83,3352322,-0.1662,0.0380,0.9929,-0.0175,-0.2188,0.1400,1000.2996,smooth_accel_decel,0
84,3352382,-0.1543,-0.0066,0.9899,0.1750,-0.0437,0.0700,1000.3093,smooth_accel_decel,0
85,3352442,-0.1385,0.0217,0.9814,0.6825,-0.2100,0.0962,1000.2969,smooth_accel_decel,0
86,3352502,-0.1380,0.0222,1.0053,-0.7525,0.2975,0.4288,1000.3030,smooth_accel_decel,0
87,3352562,-0.1439,0.0657,0.9660,-1.1812,-0.0525,0.3500,1000.2808,smooth_accel_decel,0
88,3352622,-0.1642,-0.0293,1.0543,0.0962,1.1638,0.4462,1000.2844,smooth_accel_decel,0
89,3352682,-0.1737,-0.0046,0.9784,0.9275,0.5075,-0.3762,1000.2700,smooth_accel_decel,0
90,3352742,-0.1776,-0.0040,0.9630,0.0437,0.2188,0.0175,1000.2856,smooth_accel_decel,0
91,3352802,-0.1850,0.0297,0.9957,0.2275,1.0150,0.7262,1000.2627,smooth_accel_decel,0
92,3352862,-0.1720,0.0325,0.9565,0.7613,1.0325,0.1575,1000.2625,smooth_accel_decel,0
93,3352922,-0.1503,-0.0237,1.0021,0.6913,0.0525,0.2013,1000.2688,smooth_accel_decel,0
94,3352982,-0.1304,0.0054,1.0355,0.5775,-0.6913,0.3675,1000.2573,smooth_accel_decel,0
95,3353042,-0.1235,0.0629,0.9889,-1.2950,-0.3938,0.6475,1000.2659,smooth_accel_decel,0
96,3353102,-0.1210,0.0176,1.0116,-1.0938,-0.5512,0.3850,1000.2585,smooth_accel_decel,0
97,3353162,-0.1578,0.0254,0.9999,-0.2887,-0.1225,0.0962,1000.2593,smooth_accel_decel,0
98,3353222,-0.1601,-0.0446,0.9367,0.2275,0.3150,0.0787,1000.2637,smooth_accel_decel,0
99,3353282,-0.1351,0.0406,0.9828,-0.1575,-0.2100,0.0700,1000.2585,smooth_accel_decel,0
100,3353342,-0.1291,0.0269,1.1094,1.6537,-0.0175,0.7000,1000.2451,smooth_accel_decel,0
101,3353402,-0.1562,0.0212,0.9609,-0.9887,-1.5750,0.4200,1000.2473,smooth_accel_decel,0
102,3353462,-0.1257,-0.0422,0.9755,-0.5250,1.0325,0.0875,1000.2571,smooth_accel_decel,0
103,3353522,-0.1586,0.0927,1.0209,-0.7000,0.2800,0.2537,1000.2507,smooth_accel_decel,0
104,3353582,-0.1828,-0.0285,1.0495,1.3563,2.1700,0.2537,1000.2444,smooth_accel_decel,0
105,3353642,-0.1479,-0.0551,0.9877,-0.0962,0.1312,0.3325,1000.2466,smooth_accel_decel,0
106,3353702,-0.1493,0.0093,0.9450,0.4812,1.1200,-0.0350,1000.2402,smooth_accel_decel,0
107,3353762,-0.1266,0.0149,0.9837,0.4812,0.9187,0.2975,1000.2437,smooth_accel_decel,0
108,3353822,-0.1871,-0.0017,0.9450,-0.9712,-0.7525,0.6037,1000.2258,smooth_accel_decel,0
109,3353882,-0.1976,0.0117,0.9035,-0.9887,0.8138,0.6212,1000.2278,smooth_accel_decel,0
110,3353942,-0.1135,-0.0221,0.9367,-1.7587,-2.1088,0.0700,1000.2263,smooth_accel_decel,0
111,3354002,-0.1389,-0.0359,1.0651,-0.5950,0.8400,-0.1050,1000.2263,smooth_accel_decel,0
112,3354062,-0.1496,-0.0322,0.9267,0.8225,-2.2662,0.2100,1000.2305,smooth_accel_decel,0
113,3354122,-0.1011,0.0866,1.0268,-1.0675,-0.2450,0.2275,1000.2249,smooth_accel_decel,0
114,3354182,-0.1232,0.0720,1.0043,0.6037,-0.6650,-0.1663,1000.2117,smooth_accel_decel,0
115,3354242,-0.1066,0.0070,1.0424,3.4037,1.6013,-0.0613,1000.2122,smooth_accel_decel,0
116,3354302,-0.1595,-0.1205,0.9136,2.7387,-1.3913,-0.3500,1000.2100,smooth_accel_decel,0
117,3354362,-0.0044,0.0884,1.0735,1.7763,0.9975,0.2100,1000.1880,smooth_accel_decel,0
118,3354422,-0.0430,0.1421,1.1792,0.1488,1.9250,1.0412,1000.1877,smooth_accel_decel,0
119,3354482,-0.1566,0.1381,0.9104,-1.4963,0.0350,0.8662,1000.1843,smooth_accel_decel,0
120,3354542,-0.1484,-0.0532,0.9653,-1.9950,0.8050,0.9013,1000.1926,smooth_accel_decel,0
121,3354602,-0.0988,-0.0576,0.9633,-3.3863,2.1437,0.4900,1000.1687,smooth_accel_decel,0
122,3354662,-0.1820,0.0051,1.1173,-1.4000,2.5988,0.4375,1000.1653,smooth_accel_decel,0
123,3354722,-0.0659,0.0687,1.0515,-0.4112,0.6650,0.4638,1000.1619,smooth_accel_decel,0
124,3354782,-0.1288,0.0256,1.0423,-1.7763,0.7437,0.9100,1000.1504,smooth_accel_decel,0
125,3354842,-0.0976,-0.0730,0.9218,2.8087,-1.3737,0.1312,1000.1514,smooth_accel_decel,0
126,3354902,-0.1230,0.0693,0.9679,5.2675,-0.6562,0.4900,1000.1284,smooth_accel_decel,0
127,3354962,-0.0880,0.0466,1.1595,2.0387,4.2613,0.1838,1000.1279,smooth_accel_decel,0
128,3355022,-0.1425,0.0517,1.0414,2.2838,-0.0262,1.1988,1000.1343,smooth_accel_decel,0
129,3355082,-0.2230,0.1994,0.9158,-2.1700,1.7325,0.1400,1000.1223,smooth_accel_decel,0
130,3355142,-0.1242,-0.0395,0.9489,-3.0013,-0.0350,-0.7350,1000.1213,smooth_accel_decel,0
131,3355202,0.0049,0.1490,1.2570,1.3212,3.9987,0.6650,1000.1167,smooth_accel_decel,0
132,3355262,-0.0656,-0.0724,1.1167,0.6825,2.9662,-0.6037,1000.1140,smooth_accel_decel,0
133,3355322,-0.1645,0.1643,0.8625,-0.2800,0.5600,-0.4462,1000.1201,smooth_accel_decel,0
134,3355382,-0.2257,-0.0112,0.8269,0.7000,0.3850,-0.0262,1000.0977,smooth_accel_decel,0
135,3355442,-0.0825,0.1564,1.1210,1.6975,1.9075,0.1575,1000.0859,smooth_accel_decel,0
136,3355502,0.0149,-0.0707,1.0494,1.3650,4.9000,0.2275,1000.0950,smooth_accel_decel,0
137,3355562,-0.0632,0.0268,0.9276,-0.1138,1.7413,-0.7262,1000.1226,smooth_accel_decel,0
138,3355622,-0.0700,0.1136,0.9548,1.1113,-1.6625,-0.6913,1000.1091,smooth_accel_decel,0
139,3355682,-0.0728,0.0661,0.9374,1.7062,-3.2200,0.6737,1000.0991,smooth_accel_decel,0
140,3355742,0.0223,0.1803,1.3620,2.0387,0.4812,0.0175,1000.1086,smooth_accel_decel,0
141,3355802,-0.0397,0.0076,1.1676,-0.5250,0.5337,0.6825,1000.0898,smooth_accel_decel,0
142,3355862,-0.1774,0.0198,1.0605,2.3800,1.9863,-0.2450,1000.0894,smooth_accel_decel,0
143,3355922,-0.0114,0.1164,1.1882,2.6512,-5.8450,0.2975,1000.1050,smooth_accel_decel,0
144,3355982,-0.2599,-0.0400,1.0117,-2.2487,3.7450,-0.1400,1000.0896,smooth_accel_decel,0
145,3356042,-0.2425,-0.0075,0.6847,0.5950,-0.4725,-1.2862,1000.0767,smooth_accel_decel,0
146,3356102,-0.1039,0.1371,1.0758,-3.5438,-1.9162,-0.8313,1000.0742,smooth_accel_decel,0
147,3356162,-0.2940,-0.1216,0.7518,3.5262,-2.2487,-0.8138,1000.0754,smooth_accel_decel,0
148,3356222,-0.3003,-0.1013,0.6242,-0.8050,-1.4963,-0.1925,1000.0520,smooth_accel_decel,0
149,3356282,-0.1535,-0.0883,1.0113,0.4462,-0.5863,-0.6300,1000.0623,smooth_accel_decel,0
150,3356342,-0.3157,0.0869,0.9259,-0.9712,0.7525,-0.8313,1000.0481,smooth_accel_decel,0
151,3356402,-0.1557,-0.0647,1.0766,1.2250,-1.1638,0.0088,1000.0344,smooth_accel_decel,0
152,3356462,-0.0102,0.0037,1.0355,0.0787,-3.8937,-0.2713,1000.0339,smooth_accel_decel,0
153,3356522,-0.0541,0.1598,1.0399,-0.0088,-0.1663,-0.0700,1000.0229,smooth_accel_decel,0
154,3356582,-0.1056,0.0407,0.8766,-0.1663,-0.8838,-1.3300,1000.0203,smooth_accel_decel,0
155,3356642,-0.0891,0.0104,1.1575,-0.1488,5.8538,0.0525,1000.0259,smooth_accel_decel,0
156,3356702,-0.0932,0.0900,1.1766,1.4875,-0.2188,-0.5775,1000.0305,smooth_accel_decel,0
157,3356762,0.0301,0.0239,1.3718,3.7100,1.2425,-0.0437,1000.0278,smooth_accel_decel,0
158,3356822,0.0459,0.1212,1.3728,0.1225,-1.0412,0.2625,1000.0247,smooth_accel_decel,0
159,3356882,-0.1740,-0.0563,1.0260,-5.2500,5.0662,0.7525,1000.0193,smooth_accel_decel,0
160,3356942,-0.0942,0.0789,1.0411,1.8550,4.2087,0.8838,1000.0098,smooth_accel_decel,0
161,3357002,-0.1147,0.1008,1.0605,-0.2100,0.3938,0.0350,999.9951,smooth_accel_decel,0
162,3357062,-0.0566,0.0542,0.9999,-3.1937,0.8838,-0.6475,999.9961,smooth_accel_decel,0
163,3357122,-0.1610,-0.0027,1.0287,-0.0613,3.5700,-0.7437,1000.0054,smooth_accel_decel,0
164,3357182,-0.1315,0.1013,0.7513,1.7325,0.1575,-0.5337,1000.0078,smooth_accel_decel,0
165,3357242,-0.1584,0.0337,0.9929,-1.7850,1.4350,-0.1575,1000.0059,smooth_accel_decel,0
166,3357302,-0.1079,0.0598,1.2609,1.1988,1.9775,-0.4112,999.9875,smooth_accel_decel,0
167,3357362,-0.0283,0.0830,1.0204,-0.0350,-0.6562,-0.4900,999.9800,smooth_accel_decel,0
168,3357422,-0.0776,0.1317,1.2454,0.0262,-1.1200,-0.0175,999.9873,smooth_accel_decel,0
169,3357482,-0.1487,-0.0381,0.8310,0.2188,-2.4062,-0.3500,999.9810,smooth_accel_decel,0
170,3357542,-0.1407,0.0361,1.0395,1.1812,0.7525,-0.2537,999.9883,smooth_accel_decel,0
171,3357602,-0.0334,0.1027,1.0502,1.4088,-1.9512,-0.2713,999.9790,smooth_accel_decel,0
172,3357662,-0.1406,0.0978,0.9367,-0.1400,-0.8225,-0.6037,999.9705,smooth_accel_decel,0
173,3357722,-0.1335,-0.0042,1.0250,0.3587,-0.7437,-0.4638,999.9807,smooth_accel_decel,0
174,3357782,-0.0365,0.0728,1.1446,-1.4787,-1.9425,-0.6037,999.9729,smooth_accel_decel,0
175,3357842,-0.1681,-0.0117,0.8882,0.4288,0.8313,-0.3413,999.9626,smooth_accel_decel,0
176,3357902,-0.0910,0.1193,0.9922,-0.2625,0.4725,-0.3938,999.9668,smooth_accel_decel,0
177,3357962,-0.0575,0.0710,0.9228,0.3063,-1.6187,-0.3413,999.9607,smooth_accel_decel,0
178,3358022,-0.0584,0.0070,1.1783,1.1463,3.5438,-0.6737,999.9595,smooth_accel_decel,0
179,3358082,-0.1013,0.0864,1.0662,-1.7150,1.3913,0.0175,999.9575,smooth_accel_decel,0
180,3358142,-0.1234,-0.0032,0.8356,-1.4350,1.3388,-0.6562,999.9497,smooth_accel_decel,0
181,3358202,-0.0938,0.0143,0.9604,-0.1400,0.5337,-0.1575,999.9353,smooth_accel_decel,0
182,3358262,-0.1324,-0.0342,0.8808,-3.4125,-1.1638,-0.2275,999.9456,smooth_accel_decel,0
183,3358322,-0.0986,-0.0204,0.9175,-1.7150,1.9338,0.4812,999.9543,smooth_accel_decel,0
184,3358382,-0.0458,0.0144,1.1070,0.2537,-0.5688,0.1312,999.9280,smooth_accel_decel,0
185,3358442,-0.0925,0.0412,1.0063,1.2250,1.4525,0.5337,999.9385,smooth_accel_decel,0
186,3358502,-0.0581,-0.0132,1.0082,-1.9512,0.0962,0.2013,999.9292,smooth_accel_decel,0
187,3358562,-0.0307,0.0717,1.1780,-0.3938,2.3800,-0.3675,999.9150,smooth_accel_decel,0
188,3358622,-0.1028,-0.0381,0.9240,-0.7088,1.7150,-0.3762,999.9495,smooth_accel_decel,0
189,3358682,-0.0339,-0.0581,0.9714,0.7525,-0.3762,0.1312,999.9202,smooth_accel_decel,0
190,3358742,-0.1147,-0.0129,0.7061,-0.4900,1.2687,0.1400,999.9382,smooth_accel_decel,0
191,3358802,0.0292,-0.0056,1.0330,0.1925,-0.8487,0.8138,999.9287,smooth_accel_decel,0
192,3358862,0.0005,0.0066,1.1315,-1.3300,0.1838,0.1750,999.9434,smooth_accel_decel,0
193,3358922,0.0093,0.0439,1.2390,0.2625,1.4350,-0.1225,999.9463,smooth_accel_decel,0
194,3358982,-0.0576,-0.0278,0.8230,-2.1788,0.9712,0.5075,999.9480,smooth_accel_decel,0
195,3359042,-0.0342,0.0510,1.0607,2.6862,-1.7850,0.4550,999.9504,smooth_accel_decel,0
196,3359102,-0.0651,-0.0393,0.9824,1.7150,-1.1725,0.3938,999.9392,smooth_accel_decel,0
197,3359162,-0.0051,0.0925,1.0077,3.0100,-2.1875,0.1225,999.9351,smooth_accel_decel,0
198,3359222,-0.0213,0.0034,1.0879,3.7538,-0.6212,-0.1138,999.9255,smooth_accel_decel,0
199,3359282,-0.0034,0.0246,1.0112,5.0050,-2.7125,0.4112,999.9116,smooth_accel_decel,0
200,3359342,-0.0874,0.0998,0.9177,3.1500,-3.6400,0.8225,999.9197,smooth_accel_decel,0
201,3359402,-0.0359,0.0442,0.9645,-2.9488,0.9362,0.3587,999.9360,smooth_accel_decel,0
202,3359462,-0.0686,-0.0654,0.8977,0.9187,0.9450,0.3850,999.9209,smooth_accel_decel,0
203,3359522,0.0519,-0.0081,1.0917,4.2875,2.2137,-0.0437,999.9353,smooth_accel_decel,0
204,3359582,0.0466,0.0835,0.9677,2.0038,1.2600,0.1400,999.9138,smooth_accel_decel,0
205,3359642,0.0036,0.1240,1.2080,-0.4025,4.4012,0.7262,999.9097,smooth_accel_decel,0
206,3359702,-0.1063,0.0091,1.0967,2.7738,3.0887,1.0412,999.8965,smooth_accel_decel,0
207,3359762,-0.0763,-0.0369,1.0280,1.8375,-0.8662,0.0700,999.9043,smooth_accel_decel,0
208,3359822,-0.0173,0.0859,0.9889,1.4525,-2.8175,0.6212,999.8862,smooth_accel_decel,0
209,3359882,-0.0205,0.0514,1.1456,0.2013,1.6450,-0.3587,999.8960,smooth_accel_decel,0
210,3359942,-0.1623,0.0054,0.7054,0.5863,-2.5375,-0.3150,999.8940,smooth_accel_decel,0
211,3360002,-0.0358,0.0110,0.9108,3.8588,-1.4175,0.6562,999.9280,smooth_accel_decel,0
212,3360062,-0.0041,-0.1427,1.1010,-0.5163,-0.2275,0.2013,999.9299,smooth_accel_decel,0
213,3360122,0.0022,0.0837,1.1240,-0.0613,-0.1925,0.0525,999.9346,smooth_accel_decel,0
214,3360182,-0.0420,-0.0018,1.0094,2.7738,1.8987,-0.2713,999.9160,smooth_accel_decel,0
215,3360242,-0.0600,0.0823,0.9853,1.6888,-1.6013,0.6562,999.9287,smooth_accel_decel,0
216,3360302,-0.0265,-0.0157,1.1450,1.6363,1.4525,-0.1838,999.9263,smooth_accel_decel,0
217,3360362,-0.0046,-0.0185,1.0538,-4.6988,0.0962,0.1050,999.9126,smooth_accel_decel,0
218,3360422,0.0207,0.0447,0.9856,1.5575,-0.3587,-0.1663,999.8867,smooth_accel_decel,0
219,3360482,-0.0977,0.0551,1.0394,-0.2887,-1.3737,-0.6300,999.8765,smooth_accel_decel,0
220,3360542,-0.0079,0.0352,1.1805,0.9013,3.7887,-0.3500,999.8208,smooth_accel_decel,0
221,3360602,0.0874,-0.0085,1.0448,-1.4525,0.9100,-0.3938,999.8047,smooth_accel_decel,0
222,3360662,-0.0301,0.1225,1.0024,2.5550,2.0475,-0.3762,999.7898,smooth_accel_decel,0
223,3360722,-0.0678,-0.0105,1.0044,-5.2500,-0.7262,-0.3237,999.7856,smooth_accel_decel,0
224,3360782,-0.0422,-0.0471,0.9053,-0.9275,-2.1875,0.1838,999.7412,smooth_accel_decel,0
225,3360842,-0.0569,-0.0157,0.8789,1.2425,-1.3038,0.4200,999.7209,smooth_accel_decel,0
226,3360902,-0.0254,-0.0740,0.9343,1.6275,1.8375,0.0437,999.7764,smooth_accel_decel,0
227,3360962,-0.0547,0.1129,1.0458,-1.6187,3.0275,-0.2013,999.8176,smooth_accel_decel,0
228,3361022,-0.0957,-0.0637,1.0386,0.6300,2.6075,0.6913,999.7998,smooth_accel_decel,0
229,3361082,-0.0443,-0.0229,0.9376,1.9338,1.9338,-0.1050,999.8340,smooth_accel_decel,0
230,3361142,-0.0005,-0.0405,0.8474,0.3237,-2.1700,0.1138,999.8569,smooth_accel_decel,0
231,3361202,-0.0481,0.0124,0.9701,0.7350,1.3125,0.0875,999.8345,smooth_accel_decel,0
232,3361262,-0.0464,0.1261,1.0250,0.7000,-0.0350,0.3762,999.8557,smooth_accel_decel,0
233,3361322,0.0034,-0.0539,0.9828,-2.2313,-1.6100,0.3325,999.8296,smooth_accel_decel,0
234,3361382,-0.0469,0.0452,1.0655,4.3050,0.6562,0.1400,999.8389,smooth_accel_decel,0
235,3361442,-0.0737,-0.1007,1.0394,3.6925,-2.4062,0.5250,999.8513,smooth_accel_decel,0
236,3361502,0.0037,0.0678,0.9994,0.1488,-1.6363,-0.0525,999.8560,smooth_accel_decel,0
237,3361562,-0.0188,0.0874,1.0731,0.9800,1.3038,0.7613,999.8794,smooth_accel_decel,0
238,3361622,0.0073,-0.0842,1.0599,7.0788,-0.0875,0.7613,999.8611,smooth_accel_decel,0
239,3361682,0.0110,0.1801,0.9963,-0.6388,-0.4725,-0.2537,999.8621,smooth_accel_decel,0
240,3361742,-0.0051,0.0288,0.9921,1.2950,1.3475,0.7700,999.8726,smooth_accel_decel,0
241,3361802,-0.0105,0.1215,1.0349,1.4525,3.2287,-0.1225,999.8340,smooth_accel_decel,0
242,3361862,0.0900,-0.1064,1.0745,0.2713,0.7788,-0.1925,999.8452,smooth_accel_decel,0
243,3361922,0.0852,0.1354,0.9621,0.2450,-4.0163,-0.1225,999.8567,smooth_accel_decel,0
244,3361982,0.0130,0.0406,1.1875,-1.5750,-1.7500,0.6125,999.8564,smooth_accel_decel,0
245,3362042,0.0471,0.0542,1.2223,2.3450,0.6212,-0.1312,999.8496,smooth_accel_decel,0
246,3362102,-0.0695,0.0420,0.9507,-0.7525,-0.5863,0.2013,999.8442,smooth_accel_decel,0
247,3362162,-0.0002,0.1612,1.0465,3.0363,-0.6475,0.0000,999.8330,smooth_accel_decel,0
248,3362222,0.0151,-0.0956,1.1217,-3.4388,-1.3737,-0.0700,999.8289,smooth_accel_decel,0
249,3362282,-0.0422,0.0976,0.9550,-1.0850,0.9712,-0.0700,999.8064,smooth_accel_decel,0
