duration,num_samples,accel_mag_mean,accel_mag_max,accel_mag_min,accel_mag_range,dps_mag_mean,dps_mag_max,dps_mag_min,dps_mag_range,a_x_mean,a_x_std,a_x_min,a_x_max,a_x_range,a_x_abs_max,a_x_delta,a_x_max_neighbor_diff,a_x_min_neighbor_diff,a_x_avg_neighbor_diff,a_x_max_gradient,a_x_min_gradient,a_x_num_peaks,a_x_zero_crossings,a_y_mean,a_y_std,a_y_min,a_y_max,a_y_range,a_y_abs_max,a_y_delta,a_y_max_neighbor_diff,a_y_min_neighbor_diff,a_y_avg_neighbor_diff,a_y_max_gradient,a_y_min_gradient,a_y_num_peaks,a_y_zero_crossings,a_z_mean,a_z_std,a_z_min,a_z_max,a_z_range,a_z_abs_max,a_z_delta,a_z_max_neighbor_diff,a_z_min_neighbor_diff,a_z_avg_neighbor_diff,a_z_max_gradient,a_z_min_gradient,a_z_num_peaks,a_z_zero_crossings,dps_x_mean,dps_x_std,dps_x_min,dps_x_max,dps_x_range,dps_x_abs_max,dps_x_delta,dps_x_max_neighbor_diff,dps_x_min_neighbor_diff,dps_x_avg_neighbor_diff,dps_x_max_gradient,dps_x_min_gradient,dps_x_num_peaks,dps_x_zero_crossings,dps_y_mean,dps_y_std,dps_y_min,dps_y_max,dps_y_range,dps_y_abs_max,dps_y_delta,dps_y_max_neighbor_diff,dps_y_min_neighbor_diff,dps_y_avg_neighbor_diff,dps_y_max_gradient,dps_y_min_gradient,dps_y_num_peaks,dps_y_zero_crossings,dps_z_mean,dps_z_std,dps_z_min,dps_z_max,dps_z_range,dps_z_abs_max,dps_z_delta,dps_z_max_neighbor_diff,dps_z_min_neighbor_diff,dps_z_avg_neighbor_diff,dps_z_max_gradient,dps_z_min_gradient,dps_z_num_peaks,dps_z_zero_crossings
27.36,457,1.0123330355745186,1.7034485404613782,0.4485287393244718,1.2549198011369065,2.8670734155624995,17.89072470779202,0.0401084779067967,17.850616229885226,0.0180382932166302,0.1940712023424893,-0.4573,0.4499,0.9072,0.4573,-0.0304,0.3196,-0.3603,-6.666666666666529e-05,0.6531666666666767,-1.0396666666666656,1,18,0.0053881838074398,0.0785098574126115,-0.3031,0.3599,0.663,0.3599,0.0169,0.4433,-0.4697,3.706140350877192e-05,0.6603333333333403,-0.7758333333333296,8,107,0.990166739606127,0.1455647208985321,0.4077,1.698,1.2903,1.698,-0.0600999999999998,1.1414,-0.9623000000000002,-0.000131798245614,1.5499999999999865,-2.132333333333359,7,0,0.1969017505470459,2.102818026137678,-8.0238,12.3287,20.3525,12.3287,-0.0962,13.09,-11.1037,-0.0002109649122807,29.997999999999895,-29.137500000000745,7,55,-0.1229617067833697,2.688920542806356,-12.2762,12.9412,25.2174,12.9412,-1.2775,14.0087,-14.7787,-0.0028015350877193,35.86049999999926,-46.87066666666758,6,84,0.0336411378555798,0.5172847082184019,-1.6712,2.9488,4.62,2.9488,-0.0787999999999999,2.94,-3.7801,-0.0001728070175438,7.1021666666667205,-5.906499999999871,6,0
15.42,258,1.0259587993555306,1.6825166715370163,0.2940438912815568,1.3884727802554595,2.483036675263837,10.14576939862128,0.2563812005588553,9.889388198062424,0.0174054263565891,0.2705691859880532,-0.4388,0.6135,1.0523,0.6135,0.0227,0.2162,-0.2279,8.832684824902712e-05,1.0251666666666783,-0.7100000000000016,1,2,0.0365426356589147,0.0785733034287302,-0.2559,0.2994,0.5553,0.2994,0.0659,0.4172,-0.3429999999999999,0.000256420233463,1.0071666666666752,-0.8665000000000296,3,38,0.9848441860465116,0.1377151178412149,0.0024,1.5651,1.5627,1.5651,-0.009,0.9677,-0.7198,-3.501945525291702e-05,2.487166666666722,-2.5388333333333097,3,0,0.4888112403100775,1.9193341682687928,-5.5738,8.8112,14.385,8.8112,0.0262,12.3462,-11.4975,0.0001019455252918,15.662666666666937,-26.308166666666924,4,25,-0.0075290697674418,2.238424259459862,-9.1,8.26,17.36,9.1,0.2713,10.6838,-10.3163,0.0010556420233463,35.24799999999971,-28.0293333333331,4,28,-0.0936050387596899,0.6096770314987747,-1.9688,1.6187,3.5875000000000004,1.9688,-2.3013,1.9775,-2.6775,-0.0089544747081712,4.914666666666756,-8.035499999999935,2,0
13.62,228,1.0437109711333346,1.4555765661757545,0.5975244764861102,0.8580520896896441,2.6933394455245723,9.488970571142056,0.398160306911676,9.09081026423038,0.0151995614035087,0.2690336217787358,-0.3994,0.4324,0.8318,0.4324,0.2037,0.351,-0.2658999999999999,0.0008973568281938,1.2811666666666763,-0.8923333333333331,0,1,-0.0060714912280701,0.0843663603099687,-0.2225,0.3848,0.6073,0.3848,0.07,0.4068,-0.3736,0.0003083700440528,1.2504999999999933,-0.8603333333333263,3,62,1.0048969298245614,0.1252412257049696,0.5838,1.3786,0.7948000000000001,1.3786,0.0301,0.5052,-0.5457000000000001,0.0001325991189427,1.336833333333324,-1.3360000000000003,3,0,0.2309938596491227,1.9703436462849624,-5.8012,6.02,11.8212,6.02,1.2075,6.1163,-7.4549,0.0053193832599119,19.93550000000006,-14.816499999999982,4,31,0.2821837719298246,2.3167559239663738,-8.1637,9.38,17.5437,9.38,0.1487,10.71,-12.4075,0.0006550660792951,30.683333333333373,-37.05600000000018,3,36,-0.0759109649122806,0.5547368451908352,-1.8112,1.9338,3.745,1.9338,-0.5424,1.82,-2.3626,-0.0023894273127753,3.82083333333335,-4.40400000000001,3,0
15.0,251,1.0221827205569878,1.4342477122171051,0.6797602077203402,0.7544875044967649,2.715203878925085,12.686110079137734,0.2880370115106737,12.39807306762706,0.0069764940239043,0.2596121112068136,-0.429,0.4778,0.9068,0.4778,0.0452,0.2751,-0.3695,0.0001808,0.9100000000000088,-0.7691666666666659,1,6,0.0273768924302788,0.0756527129976472,-0.1759,0.2869,0.4628,0.2869,-0.0049999999999999,0.4628,-0.2362,-2.0000000000000462e-05,0.7546666666666635,-1.0175000000000016,3,48,0.9857243027888446,0.1182773747045983,0.6495,1.3959,0.7464,1.3959,0.0194999999999999,0.5560999999999999,-0.5751,7.800000000000073e-05,1.160000000000025,-1.34916666666666,3,0,0.3034621513944223,2.0461781706493087,-6.16,10.2375,16.3975,10.2375,0.3150999999999999,8.295,-10.4038,0.0012604,23.56666666666655,-29.58949999999976,4,27,-0.0931760956175298,2.365193657607405,-11.0775,7.3762,18.4537,11.0775,1.6275,18.4537,-11.7863,0.00651,30.94583333333297,-30.814499999999978,3,36,-0.2456621513944223,0.674837530344714,-1.7763,1.8463,3.6226,1.8463,1.8725,1.8463,-2.1175,0.00749,4.929000000000082,-4.768666666666666,2,0
13.26,222,1.0008396211398003,1.0947291263139023,0.9271550517577952,0.1675740745561073,7.1652208433624205,25.726375992160264,0.1363316544313902,25.590044337728873,-0.0101846846846846,0.0485836372622371,-0.1279,0.0918,0.2197,0.1279,0.0281,0.0489,-0.1003,0.0001271493212669,0.2720000000000027,-0.3715000000000011,2,1,-0.0304063063063063,0.058350990219516,-0.1754,0.0844,0.2598,0.1754,-0.0646,0.1112,-0.1257,-0.0002923076923076,0.3140000000000054,-0.2834999999999983,1,4,0.9974545045045043,0.0312848589645551,0.9233,1.0919,0.1686,1.0919,-0.0324999999999999,0.1479,-0.1532,-0.0001470588235294,0.3879999999999963,-0.4145833333333332,2,0,0.3051027027027026,0.7089801156143618,-2.0563,3.7713,5.8276,3.7713,-2.3888,2.7038,-2.2313,-0.0108090497737556,11.608333333333237,-10.689666666666746,3,1,0.0309432432432432,0.8126534793428725,-2.52,2.7562,5.2762,2.7562,-1.3038,2.205,-2.3274,-0.0058995475113122,8.633333333333463,-7.787499999999934,3,3,6.881795495495494,8.450175452417021,0.0,25.725,25.725,25.725,3.5788,0.997399999999999,-1.0236999999999998,0.016193665158371,12.935500000000076,-11.156166666666708,1,0
10.2,171,1.0109391179255602,1.1294171107257054,0.9007995781526544,0.228617532573051,10.00307933753584,29.46538982654056,0.2911761837788248,29.17421364276174,0.0166251461988304,0.039147469445024,-0.0612,0.0974,0.1586,0.0974,-0.0771999999999999,0.1074,-0.0638,-0.0004541176470588,0.2719999999999998,-0.2528333333333331,1,1,-0.0452339181286549,0.0860698670805517,-0.2721,0.1042,0.3763,0.2721,0.0362,0.1112,-0.1281,0.0002129411764705,0.4090000000000023,-0.4564999999999996,0,5,1.005404678362573,0.0434718378248094,0.8792,1.1124,0.2332,1.1124,-0.0149999999999999,0.2236,-0.1708,-8.823529411764648e-05,0.3879999999999981,-0.3873333333333342,2,0,0.6067157894736841,1.2212178046990356,-2.1,4.3488,6.4488,4.3488,0.1575,3.4738,-2.6599999999999997,0.0009264705882353,18.054333333333343,-15.050166666666597,3,4,-0.0717883040935672,0.98629367389055,-3.01,3.605,6.615,3.605,-0.6476000000000001,4.2087,-3.2725,-0.0038094117647058,9.727000000000029,-8.385499999999983,3,5,9.55756432748538,10.468356132401055,-0.1138,29.4263,29.5401,29.4263,-2.8788,1.4699999999999998,-1.6013000000000002,-0.0169341176470588,15.108333333333306,-21.04383333333334,1,0
9.9,166,1.00604649548396,1.264569100523969,0.8689107318936738,0.3956583686302951,9.039448961563336,27.240016723012488,0.2858903985795955,26.95412632443289,0.0614259036144578,0.0457239674976263,-0.0861,0.155,0.2410999999999999,0.155,0.0017,0.1046999999999999,-0.0658,1.0303030303030346e-05,0.4006666666666663,-0.3191666666666645,3,1,-0.0360740963855421,0.0835975256489872,-0.2369,0.1157,0.3526,0.2369,-0.076,0.1261,-0.1278,-0.000460606060606,0.3621666666666638,-0.2961666666666682,0,8,0.9990373493975904,0.0550107178776697,0.8657,1.2576,0.3919,1.2576,-0.0973999999999999,0.2136999999999999,-0.1896,-0.000590303030303,0.5918333333333319,-0.4983333333333348,2,0,0.4654909638554216,0.8356369382599838,-2.2838,3.8588,6.1426,3.8588,0.63,3.22,-2.2574,0.0038181818181818,8.691833333333264,-13.008499999999891,2,2,-0.0828072289156626,1.0362702346493184,-3.1325,4.6813,7.8138,4.6813,-4.112500000000001,2.905,-4.34,-0.0249242424242424,9.303999999999997,-12.986416666666669,2,3,8.434734939759036,9.91398997969226,-0.5775,27.1863,27.7638,27.1863,1.5576,1.2424,-1.9773999999999992,0.0094399999999999,13.868666666666655,-22.151999999999816,1,0
16.38,274,0.9976156437293504,1.1444953385663046,0.8695230991756343,0.2749722393906703,6.543436141760476,22.29838573193136,0.1552210359455187,22.14316469598584,0.0084284671532846,0.0412750329395619,-0.0852,0.1403,0.2255,0.1403,-0.0908,0.0786,-0.0652,-0.0003326007326007,0.2370000000000017,-0.299,2,2,-0.0332536496350364,0.0595166779146932,-0.2028,0.073,0.2758,0.2028,-0.1051,0.0823,-0.1338,-0.0003849816849816,0.212166666666665,-0.2430000000000048,1,3,0.9944065693430656,0.039585542749606,0.8679,1.1439,0.2759999999999999,1.1439,-0.0635,0.1981999999999999,-0.2649999999999999,-0.0002326007326007,0.4799999999999977,-0.3559999999999963,5,0,0.2282010948905109,0.7293994313896996,-2.1175,2.7475,4.865,2.7475,-2.0475,3.9987,-3.1675000000000004,-0.0075,11.156333333333322,-9.449833333333364,3,1,0.063162408759124,0.8338817652832038,-2.31,2.2925,4.6025,2.31,-1.4262,3.6313,-3.3513,-0.0052241758241758,7.729333333333269,-7.510500000000137,3,4,6.232173722627738,6.910384434175726,-0.2013,22.26,22.4613,22.26,-1.6975000000000002,1.0675000000000008,-0.9713000000000004,-0.0062179487179487,12.920833333333391,-9.494000000000003,1,0
16.38,274,1.004338932253661,1.1316619371526109,0.8773081898626046,0.2543537472900062,6.187260667153896,26.68757493441471,0.1552210359455187,26.53235389846919,0.0289043795620437,0.0358349806970094,-0.0841,0.1174,0.2015,0.1174,0.0712,0.1153,-0.0946,0.0002608058608058,0.2318333333333332,-0.2654999999999983,3,4,-0.0277740875912408,0.0813065957527476,-0.2557,0.0922,0.3479,0.2557,0.005,0.1807,-0.1704999999999999,1.8315018315018993e-05,0.417,-0.3084999999999974,0,4,0.9995941605839418,0.0434724522539326,0.8591,1.1119,0.2528000000000001,1.1119,-0.0195999999999999,0.1948,-0.1921000000000001,-7.179487179487161e-05,0.4309999999999974,-0.4276666666666635,4,0,0.5764770072992702,1.071154269995102,-2.17,5.1712,7.3412,5.1712,1.3125,3.9549,-3.7537,0.0048076923076923,17.295833333333317,-15.312500000000156,3,2,-0.1555554744525547,0.8421488955835292,-2.17,1.9512,4.1212,2.17,-0.7001000000000001,3.605,-2.9663,-0.0025644688644688,8.691666666666613,-10.835166666666668,4,0,5.385116058394161,8.809735814075648,-0.91,26.67,27.58,26.67,-0.1313,1.4525000000000006,-1.233700000000001,-0.0004809523809523,19.935333333333347,-12.060333333333404,1,0
20.7,346,1.0101660260276948,1.167318418427466,0.861918743269921,0.3053996751575448,5.283459724382812,24.700257126799308,0.1584692399174048,24.541787886881902,0.0147309248554913,0.0390268914759118,-0.0888,0.152,0.2408,0.152,0.0,0.1153,-0.1214,0.0,0.372166666666669,-0.4333333333333426,5,7,-0.007071965317919,0.0710195886034388,-0.1989,0.1488,0.3477,0.1989,0.0375,0.2245,-0.1852,0.0001086956521739,0.3578333333333304,-0.3041666666666658,3,15,1.0068008670520232,0.0515592483091303,0.8569,1.1651,0.3082,1.1651,-0.1248,0.1948,-0.2108,-0.0003617391304347,0.757666666666676,-0.6973611111111279,5,0,0.9180164739884392,0.998655278377964,-1.8987,5.1712,7.0699,5.1712,-4.0337,3.7537,-3.7537,-0.011691884057971,11.404333333333437,-12.38116666666667,5,0,-0.1346919075144508,1.1098752074221063,-3.2375,4.0512,7.2887,4.0512,0.6911999999999999,5.3111999999999995,-4.3575,0.0020034782608695,12.439500000000042,-14.583333333333211,5,11,4.183870809248555,7.639674821400426,-0.945,24.535,25.48,24.535,-3.6312,1.2074999999999996,-1.5312,-0.0105252173913043,15.53116666666672,-14.248166666666556,1,0
