index,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,time_sec
85,1974182,-0.0586,0.061,0.9977,-0.2887,-0.7613,-15.7238,1000.561,weave,5.1
86,1974242,-0.0842,0.0479,0.9992,0.6737,0.945,-14.6912,1000.5605,weave,5.16
87,1974302,-0.0597,0.0066,0.9999,0.4638,-0.3762,-14.3938,1000.5615,weave,5.22
88,1974362,-0.0666,0.0252,0.9657,1.1113,-0.9887,-13.615,1000.5566,weave,5.28
89,1974422,-0.0498,0.0476,0.996,0.91,-0.2887,-12.6438,1000.5654,weave,5.34
90,1974482,-0.0142,0.068,1.035,0.4288,-0.2013,-11.2175,1000.561,weave,5.4
91,1974542,-0.0748,0.0295,0.998,-0.945,0.3325,-9.8875,1000.5579,weave,5.46
92,1974602,-0.0525,-0.0381,1.0272,-2.5988,0.0088,-8.3737,1000.551,weave,5.52
93,1974662,-0.0629,-0.04,1.005,-1.4525,1.155,-6.65,1000.5393,weave,5.58
94,1974722,-0.0734,-0.0629,0.8854,-1.19,-1.155,-5.25,1000.5449,weave,5.64
95,1974782,-0.0476,-0.0345,0.9816,-0.1138,-0.2362,-3.9288,1000.5569,weave,5.7
96,1974842,-0.0405,-0.0268,0.9981,0.0437,-0.8487,-2.45,1000.5474,weave,5.76
97,1974902,-0.0598,-0.0354,0.9928,1.015,0.21,-0.9712,1000.5427,weave,5.82
98,1974962,-0.0634,-0.0142,0.9582,-0.5512,0.875,-0.14,1000.5393,weave,5.88
99,1975022,-0.0059,-0.0471,1.031,-0.8138,0.0437,0.98,1000.5425,weave,5.94
100,1975082,-0.0422,-0.0149,0.9838,0.4725,1.155,2.135,1000.5356,weave,6.0
101,1975142,-0.0622,-0.1034,0.9855,-0.9013,0.9538,3.745,1000.5405,weave,6.06
102,1975202,-0.034,-0.1398,0.9972,-0.4725,-0.07,5.3113,1000.5496,weave,6.12
103,1975262,-0.0303,-0.0695,1.0699,-0.49,-0.7962,6.8162,1000.5303,weave,6.18
104,1975322,-0.0158,-0.0837,0.9955,0.2625,-0.4112,8.3825,1000.541,weave,6.24
105,1975382,-0.0481,-0.1391,0.938,0.2275,0.3762,9.8962,1000.54,weave,6.3
106,1975442,-0.024,-0.1318,0.9704,0.105,-0.07,11.27,1000.5391,weave,6.36
107,1975502,0.0182,-0.0899,1.0108,0.1488,-1.015,12.2325,1000.5342,weave,6.42
108,1975562,-0.0498,-0.1602,0.9568,0.7788,-1.015,13.5887,1000.54,weave,6.48
109,1975622,0.0181,-0.1288,1.0106,-0.4638,-0.3325,15.4087,1000.5461,weave,6.54
110,1975682,-0.0038,-0.0786,1.0485,-0.4462,-0.0613,16.2838,1000.533,weave,6.6
111,1975742,-0.0212,-0.169,1.0094,-1.2687,-0.6037,17.6663,1000.5305,weave,6.66
112,1975802,-0.0185,-0.1799,0.97,-0.7088,0.5163,18.4888,1000.533,weave,6.72
113,1975862,-0.0213,-0.185,0.9867,0.8925,0.7262,19.3813,1000.5383,weave,6.78
114,1975922,-0.0234,-0.2076,0.9254,1.1638,-1.5225,19.88,1000.5337,weave,6.84
115,1975982,0.0198,-0.1585,1.0174,0.91,-1.015,21.4112,1000.5359,weave,6.9
116,1976042,-0.0229,-0.2094,0.9035,-1.2775,-0.455,22.1987,1000.5381,weave,6.96
