,label,accel_mag_mean,accel_mag_max,accel_mag_min,accel_mag_range,dps_mag_mean,dps_mag_max,dps_mag_min,dps_mag_range,a_x_mean,a_x_std,a_x_min,a_x_max,a_x_range,a_x_abs_max,a_x_delta,a_x_max_neighbor_diff,a_x_min_neighbor_diff,a_x_avg_neighbor_diff,a_x_max_gradient,a_x_min_gradient,a_x_zero_crossings,a_y_mean,a_y_std,a_y_min,a_y_max,a_y_range,a_y_abs_max,a_y_delta,a_y_max_neighbor_diff,a_y_min_neighbor_diff,a_y_avg_neighbor_diff,a_y_max_gradient,a_y_min_gradient,a_y_zero_crossings,a_z_mean,a_z_std,a_z_min,a_z_max,a_z_range,a_z_abs_max,a_z_delta,a_z_max_neighbor_diff,a_z_min_neighbor_diff,a_z_avg_neighbor_diff,a_z_max_gradient,a_z_min_gradient,a_z_zero_crossings,dps_x_mean,dps_x_std,dps_x_min,dps_x_max,dps_x_range,dps_x_abs_max,dps_x_delta,dps_x_max_neighbor_diff,dps_x_min_neighbor_diff,dps_x_avg_neighbor_diff,dps_x_max_gradient,dps_x_min_gradient,dps_x_zero_crossings,dps_y_mean,dps_y_std,dps_y_min,dps_y_max,dps_y_range,dps_y_abs_max,dps_y_delta,dps_y_max_neighbor_diff,dps_y_min_neighbor_diff,dps_y_avg_neighbor_diff,dps_y_max_gradient,dps_y_min_gradient,dps_y_zero_crossings,dps_z_mean,dps_z_std,dps_z_min,dps_z_max,dps_z_range,dps_z_abs_max,dps_z_delta,dps_z_max_neighbor_diff,dps_z_min_neighbor_diff,dps_z_avg_neighbor_diff,dps_z_max_gradient,dps_z_min_gradient,dps_z_zero_crossings
742,right_turn,1.0015205737928026,1.1500996913311472,0.9091170496696231,0.24098264166152406,3.1492721606627128,7.658859127180758,0.9927298222577984,6.6661293049229595,0.04416,0.027971289792063196,-0.01,0.1149,0.1249,0.1149,-0.0085,0.0861,-0.048299999999999996,-0.0004473684210526322,0.06245,-0.04065,0,0.04561,0.05285490466710181,-0.0622,0.1518,0.214,0.1518,0.031299999999999994,0.1211,-0.0847,0.001647368421052632,0.04065,-0.0847,2,0.9979049999999999,0.04947460246908188,0.9089,1.1395,0.23059999999999992,1.1395,0.04530000000000001,0.11260000000000003,-0.16559999999999997,0.00238421052631579,0.09149999999999997,-0.06109999999999993,0,0.377985,0.9100529899406957,-1.05,2.3012,3.3512000000000004,2.3012,1.3561999999999999,3.2462,-1.1724999999999999,0.07137894736842107,1.4568500000000002,-1.0106000000000002,0,0.17675000000000002,1.4088086375971796,-1.8987,3.045,4.9437,3.045,1.6362,2.1963,-3.6225,0.08611578947368419,2.0563,-1.855,0,-2.530065,2.158037378895585,-7.4375,-0.4025,7.035,7.4375,-6.5275,0.38499999999999995,-1.0937000000000001,-0.3435526315789474,0.3324999999999999,-1.0937000000000001,0
743,right_turn,0.9839701844664663,1.0862424453131998,0.8851305553419789,0.20111188997122087,15.379213783939216,22.869748304255555,7.809623770707524,15.06012453354803,0.014565,0.03285256178427298,-0.0537,0.077,0.13069999999999998,0.077,-0.006199999999999999,0.0544,-0.075,-0.0003263157894736843,0.05175,-0.075,1,0.15045,0.04735566992118484,0.07,0.2199,0.1499,0.2199,0.031299999999999994,0.09880000000000001,-0.10030000000000001,0.001647368421052632,0.052950000000000004,-0.04819999999999999,0,0.9707149999999999,0.05215988855130168,0.8628,1.0658,0.20300000000000007,1.0658,-0.0465000000000001,0.10660000000000003,-0.15300000000000002,-0.002447368421052637,0.06709999999999999,-0.1342000000000001,0,0.3950650000000001,0.8919419825804107,-1.1025,2.0213,3.1238,2.0213,1.7325000000000002,1.5312000000000001,-1.1726,0.09118421052631581,1.5312000000000001,-0.9888,0,-0.47643500000000005,1.1210960019341036,-3.01,1.435,4.445,3.01,-1.12,2.2138,-2.6075999999999997,-0.05894736842105264,1.4305999999999999,-1.3081,0,-15.301554999999999,5.0112055631643635,-22.8375,-7.6562,15.181299999999998,22.8375,-15.181299999999998,0.2012999999999998,-1.7849999999999984,-0.7990157894736841,-0.32814999999999905,-1.386849999999999,0
744,right_turn,1.0011353031845436,1.0795995646534877,0.9153218504985008,0.16427771415498693,25.894089020455418,27.56497389695844,23.362001933053598,4.20297196390484,0.0016449999999999993,0.03503209768799254,-0.083,0.0544,0.1374,0.083,0.0149,0.0847,-0.0808,0.0007842105263157886,0.0847,-0.0687,1,0.214425,0.03337539079211382,0.1328,0.2724,0.13959999999999997,0.2724,0.05510000000000001,0.09440000000000001,-0.059,0.0029000000000000007,0.09440000000000001,-0.028549999999999992,0,0.9769300000000001,0.040356374309003774,0.9007,1.0549,0.1542,1.0549,0.06510000000000005,0.08709999999999996,-0.12990000000000002,0.0034263157894736866,0.07800000000000007,-0.03264999999999996,0,0.350435,0.8631601115576475,-1.0675,2.7912,3.8587,2.7912,-2.0824,2.4936999999999996,-1.9773999999999998,-0.10960000000000002,0.9276,-1.9773999999999998,0,-0.30450999999999995,0.8763914679855656,-2.4938,0.8225,3.3163,2.4938,-0.1575,3.3163,-1.5488,-0.00828947368421051,1.0588,-1.4087999999999998,0,-25.86151,1.5792014374026946,-27.5625,-23.2313,4.331199999999999,27.5625,-4.278700000000001,0.4724000000000004,-0.9536999999999978,-0.2251947368421053,0.4330999999999996,-0.7131000000000007,0
745,right_turn,0.9897518324081209,1.0719512908709985,0.8815924341780617,0.19035885669293684,20.810169008534377,27.86192139264627,10.778820958249561,17.08310043439671,-0.02844,0.035751443106684884,-0.0835,0.0334,0.1169,0.0835,-0.048,0.0794,-0.07970000000000001,-0.002526315789473685,0.0508,-0.041850000000000005,0,0.14945499999999998,0.06613104593791108,0.0381,0.2533,0.21520000000000003,0.2533,-0.1701,0.052800000000000014,-0.0846,-0.008952631578947368,0.04510000000000003,-0.05065,0,0.9749799999999998,0.059188473273273846,0.8477,1.0616,0.2139000000000001,1.0616,0.08779999999999988,0.20709999999999995,-0.1683,0.004621052631578941,0.05784999999999996,-0.03770000000000001,0,-0.35306999999999994,0.8843915494490222,-2.73,0.9712,3.7012,2.73,0.9187000000000001,1.8199999999999998,-2.03,0.048352631578947314,1.5224,-1.1593499999999999,0,-0.3736300000000001,0.9954393333704735,-2.0213,1.6537,3.675,2.0213,2.7913,3.3512,-2.8787000000000003,0.14691052631578946,3.2025,-1.12435,0,-20.768124999999998,5.925478539757915,-27.79,-10.745,17.045,27.79,16.5113,1.4525000000000006,-0.4286999999999992,0.8690157894736842,1.3081500000000004,-0.4286999999999992,0
746,right_turn,1.0092850577987065,1.1611139349779591,0.9285301826004366,0.2325837523775225,3.8246299567217035,9.399339345400824,0.4074806007652389,8.991858744635586,-0.04048,0.03392211823078208,-0.1137,0.0123,0.126,0.1137,0.0298,0.07250000000000001,-0.08700000000000001,0.001568421052631579,0.043750000000000004,-0.0672,0,0.021255,0.03717242151182287,-0.0474,0.0849,0.1323,0.0849,0.024699999999999993,0.0973,-0.1063,0.0012999999999999993,0.0973,-0.045149999999999996,0,1.0070000000000001,0.060648651653341996,0.927,1.1605,0.23350000000000004,1.1605,0.06599999999999995,0.20350000000000013,-0.21260000000000012,0.003473684210526313,0.08425000000000005,-0.06600000000000006,0,0.07394000000000002,0.554181811701767,-1.1812,1.0762,2.2574,1.1812,0.9538,1.5050000000000001,-1.5574,0.050200000000000036,1.1287,-0.6387,0,0.47382,0.7558300766985298,-1.05,1.8463,2.8963,1.8463,0.7875000000000001,1.9425000000000001,-2.0125,0.041447368421052656,1.1201,-1.01495,0,-3.422565,3.0474071700856573,-9.3363,0.4025,9.7388,9.3363,9.7388,1.0587999999999997,0.0175,0.5125684210526317,0.8575499999999998,0.0875,0
747,right_turn,0.9947435988880592,1.0995584841198762,0.8420302429248014,0.2575282411950748,1.2435008581945364,2.578431682244073,0.3466931352074915,2.2317385470365814,-0.059149999999999994,0.036340256060274474,-0.1434,0.0035,0.1469,0.1434,0.0408,0.0854,-0.1046,0.0021473684210526326,0.05765,-0.0458,0,0.013615000000000002,0.06826075604466648,-0.1638,0.143,0.30679999999999996,0.1638,0.016900000000000002,0.2004,-0.2243,0.0008894736842105255,0.15339999999999998,-0.07725,4,0.989875,0.06634832227284312,0.8375,1.0987,0.2612,1.0987,-0.05679999999999996,0.12480000000000002,-0.17169999999999985,-0.0029894736842105245,0.10744999999999999,-0.07889999999999997,0,-0.09450499999999999,0.8681444443694111,-1.96,1.33,3.29,1.96,0.7961999999999999,3.0713,-2.8001,0.041905263157894716,1.7588,-1.645,0,0.3198249999999999,1.0289834047431679,-1.4787,2.0475,3.5262,2.0475,-0.9362,2.5462,-3.5262,-0.04927368421052629,1.2206000000000001,-1.31685,0,0.129485,0.235505193316299,-0.2887,0.7875,1.0762,0.7875,0.07,0.9013,-0.9362999999999999,0.0036842105263157955,0.5381,-0.4244,0
748,right_turn,1.0057275384878515,1.1553780593381542,0.9255153429306291,0.2298627164075251,1.6306956652983278,3.019396669866349,0.46580723480856323,2.553589435057786,0.040545,0.03681623604935878,-0.0684,0.1061,0.1745,0.1061,-0.01079999999999999,0.0875,-0.1462,-0.0005684210526315778,0.0732,-0.1462,2,0.010330000000000002,0.04903691520305472,-0.0888,0.0911,0.1799,0.0911,0.0822,0.1509,-0.1308,0.004326315789473684,0.1509,-0.06175,3,1.0031199999999998,0.05562521768141911,0.9247,1.1502,0.22549999999999992,1.1502,0.0595,0.13269999999999982,-0.09039999999999992,0.003131578947368421,0.10749999999999993,-0.056949999999999945,0,0.30886499999999995,0.8704763785150241,-1.68,1.6888,3.3688000000000002,1.6888,-0.48119999999999996,2.8175,-2.5201000000000002,-0.02532631578947371,1.0325,-1.0763,0,0.27737999999999996,0.930317694237042,-1.015,1.8987,2.9137,1.8987,-1.1375,2.5987,-2.5463,-0.059868421052631564,1.16375,-1.2993999999999999,0,-0.5950049999999999,1.0939692521778326,-2.8175,0.6037,3.4212,2.8175,-3.4212,0.1663,-0.5774999999999999,-0.18006315789473681,0.10505,-0.4724999999999997,0
749,right_turn,1.0063755012701914,1.1398349748976822,0.9179736270721508,0.22186134782553135,8.53388037757156,14.677515870541582,2.85973775021417,11.81777812032741,0.05489000000000001,0.026425882448045036,-0.0034,0.1042,0.1076,0.1042,0.016399999999999998,0.0503,-0.0434,0.0008631578947368416,0.042300000000000004,-0.0395,0,0.09455,0.04495782233909561,-0.0115,0.1838,0.1953,0.1838,0.06570000000000001,0.0701,-0.05299999999999999,0.0034578947368421055,0.0581,-0.0476,0,0.999225,0.051239036054452396,0.9149,1.1297,0.21479999999999988,1.1297,-0.03260000000000007,0.11589999999999989,-0.11359999999999992,-0.0017157894736842144,0.07844999999999996,-0.09860000000000013,0,0.8911900000000001,0.7142470322322884,-0.6562,2.0387,2.6949,2.0387,-0.9537,2.6949,-1.8725,-0.05019473684210523,0.72625,-1.4787,0,0.19075500000000006,0.8059182239271518,-1.015,1.8375,2.8525,1.8375,-0.17499999999999993,2.6774999999999998,-1.2163,-0.009210526315789459,2.6774999999999998,-0.9843500000000001,0,-8.37987,3.9642705736563815,-14.6388,-2.66,11.9788,14.6388,-11.9788,-0.06130000000000013,-1.1637000000000004,-0.6304631578947368,-0.24940000000000007,-0.9275000000000002,0
750,right_turn,1.0002820792662732,1.0726037945112818,0.9160551293453904,0.1565486651658915,22.2315670690271,28.6022015105481,15.759283014464838,12.84291849608326,0.031665,0.04158902024889692,-0.0352,0.1061,0.1413,0.1061,0.05740000000000001,0.127,-0.0775,0.0030210526315789486,0.054099999999999995,-0.0594,0,0.17745499999999997,0.05657465003264085,0.1014,0.3345,0.23310000000000003,0.3345,0.09299999999999997,0.12300000000000003,-0.1271,0.004894736842105262,0.10890000000000001,-0.07780000000000004,0,0.9816500000000001,0.04256416209367737,0.9016,1.0533,0.15169999999999995,1.0533,0.03950000000000009,0.14449999999999985,-0.07309999999999994,0.0020789473684210574,0.06119999999999992,-0.04735000000000006,0,0.93319,1.7455862432221203,-2.87,3.605,6.475,3.605,-3.1763000000000003,3.1149999999999998,-6.37,-0.1671736842105263,1.7281,-3.2375,1,-0.5753050000000001,1.0270598519304357,-2.52,2.0475,4.5675,2.52,1.1462999999999999,2.695,-1.8025,0.0603315789473684,0.9975999999999999,-1.6231499999999999,1,-22.122184999999998,4.257142930018354,-28.455,-15.68,12.774999999999999,28.455,-12.774999999999999,0.2887000000000022,-1.5137,-0.6723684210526315,-0.25375000000000014,-1.0806500000000003,0
751,right_turn,1.0059832148057317,1.0897587301783822,0.9192718205188278,0.17048690965955438,27.759833858777274,28.966560002527054,25.276814161005337,3.6897458415217166,0.026934999999999997,0.025650941810964244,-0.0101,0.0713,0.0814,0.0713,-0.0349,0.0631,-0.07369999999999999,-0.0018368421052631571,0.031149999999999997,-0.040549999999999996,0,0.19802,0.0437651579756269,0.12,0.2994,0.1794,0.2994,-0.1508,0.06670000000000001,-0.1794,-0.007936842105263159,0.033100000000000004,-0.1794,0,0.984615,0.04117605685218943,0.906,1.0645,0.15849999999999997,1.0645,0.06879999999999997,0.08939999999999992,-0.13829999999999998,0.003621052631578946,0.05710000000000004,-0.07450000000000001,0,-0.6374349999999999,1.2081157470144201,-2.8875,1.4262,4.3137,2.8875,2.0387000000000004,2.0824,-2.5374999999999996,0.10730000000000002,1.6537,-2.15685,0,-0.07174500000000002,1.108009924653917,-2.9137,1.33,4.2437000000000005,2.9137,1.3738000000000001,2.87,-2.8787,0.07230526315789476,2.1175,-1.6231,0,-27.705995,1.0707512357784388,-28.9538,-25.27,3.6838000000000015,28.9538,3.5,0.8487000000000009,-0.5162000000000013,0.18421052631578946,0.6300000000000008,-0.24065000000000047,0
