label,accel_mag_mean,accel_mag_max,accel_mag_min,accel_mag_range,dps_mag_mean,dps_mag_max,dps_mag_min,dps_mag_range,a_x_mean,a_x_std,a_x_min,a_x_max,a_x_range,a_x_abs_max,a_x_delta,a_x_max_neighbor_diff,a_x_min_neighbor_diff,a_x_avg_neighbor_diff,a_x_max_gradient,a_x_min_gradient,a_x_num_peaks,a_x_zero_crossings,a_y_mean,a_y_std,a_y_min,a_y_max,a_y_range,a_y_abs_max,a_y_delta,a_y_max_neighbor_diff,a_y_min_neighbor_diff,a_y_avg_neighbor_diff,a_y_max_gradient,a_y_min_gradient,a_y_num_peaks,a_y_zero_crossings,a_z_mean,a_z_std,a_z_min,a_z_max,a_z_range,a_z_abs_max,a_z_delta,a_z_max_neighbor_diff,a_z_min_neighbor_diff,a_z_avg_neighbor_diff,a_z_max_gradient,a_z_min_gradient,a_z_num_peaks,a_z_zero_crossings,dps_x_mean,dps_x_std,dps_x_min,dps_x_max,dps_x_range,dps_x_abs_max,dps_x_delta,dps_x_max_neighbor_diff,dps_x_min_neighbor_diff,dps_x_avg_neighbor_diff,dps_x_max_gradient,dps_x_min_gradient,dps_x_num_peaks,dps_x_zero_crossings,dps_y_mean,dps_y_std,dps_y_min,dps_y_max,dps_y_range,dps_y_abs_max,dps_y_delta,dps_y_max_neighbor_diff,dps_y_min_neighbor_diff,dps_y_avg_neighbor_diff,dps_y_max_gradient,dps_y_min_gradient,dps_y_num_peaks,dps_y_zero_crossings,dps_z_mean,dps_z_std,dps_z_min,dps_z_max,dps_z_range,dps_z_abs_max,dps_z_delta,dps_z_max_neighbor_diff,dps_z_min_neighbor_diff,dps_z_avg_neighbor_diff,dps_z_max_gradient,dps_z_min_gradient,dps_z_num_peaks,dps_z_zero_crossings
bumps,1.004197982205786,1.3285937038839224,0.7847312023871613,0.5438625014967611,6.471318603923588,11.352509419947644,3.325391688207571,8.027117731740073,0.010595,0.0855986317832118,-0.1288,0.1401,0.2689,0.1401,0.032,0.0814999999999999,-0.0657,0.0016842105263157,0.8305,-0.6295000000000001,0,2,0.0188699999999999,0.0639880260180309,-0.1356,0.1096,0.2452,0.1356,0.049,0.0761,-0.1181,0.002578947368421,0.2421666666666668,-0.6758333333333331,1,2,0.9987650000000002,0.1392965193013582,0.7843,1.3211,0.5367999999999999,1.3211,-0.2245999999999999,0.1231999999999999,-0.2065000000000001,-0.0118210526315789,1.253,-1.3890277777777833,1,0,0.717055,3.8684756985114546,-7.0788,6.7288,13.8076,7.0788,3.990099999999999,5.285,-4.5938,0.2100052631578947,40.93566666666666,-31.602333333333327,0,2,-1.622245,5.474934752552812,-8.8462,6.545,15.3912,8.8462,-7.6737,2.0388,-2.73,-0.4038789473684211,14.174999999999985,-37.66883333333331,0,1,0.20431,0.7642594777746764,-1.26,1.2775,2.5375,1.2775,-0.8663000000000001,1.5662,-1.2687,-0.0455947368421052,3.791500000000001,-7.279444444444445,1,0
bumps,0.9985313592522308,1.281940252117859,0.7776986241469122,0.5042416279709467,7.637886768367961,14.1769430304985,4.089611839771593,10.087331190726909,0.013105,0.0778642710781158,-0.1154,0.1301,0.2455,0.1301,0.0024999999999999,0.1129999999999999,-0.0660999999999999,0.0001315789473684,0.7765,-0.5501666666666667,0,2,0.003825,0.1045219839630828,-0.213,0.1524,0.3654,0.213,0.1808,0.1618,-0.1688,0.0095157894736842,0.4595833333333333,-1.0459999999999996,1,2,0.9907050000000002,0.1382349505466384,0.7771,1.2752,0.4980999999999999,1.2752,-0.3084999999999999,0.1604000000000001,-0.2022999999999999,-0.0162368421052631,1.2006666666666694,-1.4925000000000046,1,0,0.68467,5.614629353010243,-11.1213,9.1875,20.3088,11.1213,9.2925,7.2712,-6.1775,0.489078947368421,60.47716666666666,-48.25616666666667,0,2,-1.3689300000000002,5.8827700222635,-9.4675,6.9037,16.371199999999998,9.4675,-6.8863,2.6075,-3.4825,-0.3624368421052631,20.00833333333333,-41.16849999999998,0,1,0.2025549999999999,1.2971366192198308,-2.135,2.275,4.41,2.275,1.8724,2.1,-2.4325,0.0985473684210526,5.774833333333333,-8.123,1,1
bumps,1.0050562028037466,1.318568348626646,0.7923529579675965,0.5262153906590494,7.605390808117571,15.115106355232834,4.366114627446238,10.748991727786596,0.014935,0.0808153533810578,-0.1143,0.1307,0.245,0.1307,0.0184,0.0753,-0.0613999999999999,0.0009684210526315,0.804,-0.5988333333333333,0,2,0.0051349999999999,0.1070211699421636,-0.2313,0.1615,0.3928,0.2313,0.1351,0.1412,-0.1573,0.0071105263157894,0.4866666666666668,-1.1381666666666663,1,2,0.996735,0.1332815116289775,0.7918,1.312,0.5202000000000001,1.312,-0.2523000000000001,0.1601999999999999,-0.1727999999999999,-0.013278947368421,1.2373333333333338,-1.270694444444446,1,0,0.5626249999999999,5.915654002806541,-12.0837,9.3975,21.4812,12.0837,7.98,8.015,-7.3238,0.42,63.043833333333325,-51.90216666666667,0,2,-1.4682499999999998,5.638860144101541,-9.2575,6.5975,15.855,9.2575,-6.466200000000001,2.458799999999999,-2.8612,-0.3403263157894737,20.927166666666643,-39.17083333333332,0,1,0.263375,1.2326147265382428,-2.1613,1.9863,4.147600000000001,2.1613,1.4088,2.17,-2.2662,0.0741473684210526,6.183333333333334,-8.93477777777778,1,0
bumps,1.000480055745916,1.2863874416364611,0.7904824476229692,0.495904994013492,7.50602127427477,14.301138674245488,3.804201288049832,10.496937386195656,0.01189,0.0816346862552922,-0.1276,0.1185,0.2460999999999999,0.1276,-0.0058,0.1376,-0.0607,-0.0003052631578947,0.7721666666666664,-0.5706666666666667,0,2,0.0124499999999999,0.0990975250633647,-0.2027,0.1329,0.3356,0.2027,0.0231,0.1173,-0.1661,0.0012157894736842,0.4498611111111125,-1.0509999999999995,1,3,0.992785,0.1307923073345475,0.79,1.279,0.4889999999999999,1.279,-0.2320999999999999,0.1356999999999999,-0.1621999999999999,-0.0122157894736842,1.1431666666666658,-1.277875,1,0,0.557385,6.020341375464648,-11.2525,9.5638,20.8163,11.2525,6.2651,6.9388,-6.186299999999999,0.329742105263158,64.8085,-53.57933333333333,0,2,-1.74168,5.286046930572081,-8.8112,6.3525,15.1637,8.8112,-4.7774,2.4763,-2.52,-0.2514421052631578,19.26449999999999,-36.66249999999998,0,1,-0.1155,0.9750023422374026,-1.7763,1.2513,3.0276,1.7763,-0.6563,1.5312,-1.5049,-0.0345421052631578,5.191666666666667,-9.418194444444447,1,0
bumps,1.00208498403808,1.291366632680278,0.7591690259751118,0.5321976067051661,7.251071046865924,13.461738035632695,3.877690026291426,9.58404800934127,0.0147899999999999,0.0800964543534855,-0.1086,0.1377,0.2463,0.1377,0.0149,0.1036,-0.0763,0.0007842105263157,0.7663333333333331,-0.5966666666666668,0,2,0.013015,0.0857305894863916,-0.1944,0.1349,0.3293,0.1944,0.0965999999999999,0.1435,-0.1248,0.0050842105263157,0.3783333333333343,-0.9705,1,2,0.99568,0.1417886440408658,0.7584,1.2844,0.526,1.2844,-0.2965,0.1164,-0.2579,-0.0156052631578947,1.1889999999999985,-1.610000000000003,1,0,0.6063849999999998,5.134804480700927,-10.5525,8.4613,19.0138,10.5525,6.352499999999999,6.0024999999999995,-6.081300000000001,0.3343421052631578,55.372999999999976,-43.925,0,2,-1.367615,5.703163644234756,-9.2575,6.93,16.1875,9.2575,-6.7638,3.079999999999999,-2.7738000000000005,-0.3559894736842104,23.01233333333333,-39.856166666666645,0,1,-0.4274350000000001,1.2162905994846531,-2.6862,1.3388,4.025,2.6862,1.085,1.9337,-2.2487,0.0571052631578947,5.789333333333333,-8.934555555555558,1,0
bumps,1.0012114245165051,1.1941190727896442,0.8652892984430121,0.3288297743466322,8.909949749147614,16.80014722614061,2.4302862238839276,14.369861002256682,0.022865,0.0620478955493678,-0.1113,0.1105,0.2218,0.1113,0.0723999999999999,0.0552,-0.0735,0.0038105263157894,0.4303333333333333,-0.3041666666666667,1,1,0.031595,0.1424156610067867,-0.1678,0.2645,0.4323,0.2645,-0.0797,0.1788,-0.1553999999999999,-0.0041947368421052,1.3068333333333335,-1.217666666666667,1,3,0.9893050000000002,0.0837847648190855,0.8616,1.17,0.3083999999999999,1.17,-0.0866,0.1236999999999999,-0.0798999999999999,-0.0045578947368421,0.8391666666666673,-0.6398333333333301,1,0,0.1824549999999999,8.533627770395068,-12.3112,15.2863,27.5975,15.2863,-6.8512,8.0938,-7.9975,-0.3605894736842105,86.31883333333332,-66.79166666666666,1,3,0.1203049999999999,4.90371196527638,-8.1112,5.8275,13.9387,8.1112,-1.3912000000000002,4.0249999999999995,-3.7713,-0.0732210526315789,36.414666666666655,-37.91666666666664,0,2,0.074375,0.904914955512686,-1.3563,1.82,3.1763000000000003,1.82,-1.6888,1.33,-1.6887,-0.0888842105263158,6.475000000000002,-7.158333333333354,1,0
bumps,1.0038870459301512,1.290540282207417,0.755996884914217,0.5345433972932,9.03694264864419,19.228402179588404,3.601600338738322,15.626801840850082,0.037735,0.0908213531291542,-0.1196,0.1623,0.2819,0.1623,0.0037999999999999,0.1197999999999999,-0.1423,0.0001999999999999,0.7359999999999999,-0.6870000000000002,0,2,-0.0218249999999999,0.1672019292100989,-0.3765,0.2084,0.5849,0.3765,0.2066,0.4495,-0.1908,0.0108736842105263,0.8834722222222245,-1.771666666666666,1,4,0.986685,0.1461393072776073,0.7505,1.2701,0.5196000000000001,1.2701,-0.2495999999999999,0.1839,-0.3918000000000001,-0.0131368421052631,1.2568333333333346,-1.477999999999998,1,0,1.634055,7.74084414671022,-15.7413,14.1925,29.9338,15.7413,14.5775,8.9425,-8.9775,0.7672368421052633,89.55633333333331,-60.404166666666654,0,2,-1.6686399999999997,6.040020013072455,-10.815,8.7325,19.5475,10.815,-5.0051000000000005,4.856199999999999,-4.0424999999999995,-0.2634263157894737,27.897833333333317,-44.98966666666667,0,1,0.3189499999999999,1.5551487116231548,-2.1613,2.4237,4.585000000000001,2.4237,3.4038,2.8263,-2.5988,0.1791473684210526,11.156388888888918,-8.88133333333333,1,3
hard_accel,0.9954159365800324,1.011621530019997,0.9855403543234544,0.0260811756965426,0.3601568876851271,0.6013128387120966,0.2301765626644033,0.3711362760476933,0.008805,0.0026095926280188,0.0027,0.0132,0.0104999999999999,0.0132,-0.0046,0.0061,-0.0095,-0.0002421052631578,0.0219444444444445,-0.0165,1,0,0.011345,0.0029768360101925,0.0066,0.0196,0.013,0.0196,-0.0002999999999999,0.013,-0.008,-1.5789473684210522e-05,0.0274583333333333,-0.0258333333333333,1,0,0.9953049999999998,0.0049190793961129,0.9855,1.0114,0.0259,1.0114,0.0014,0.0102999999999999,-0.0144,7.368421052631937e-05,0.0390555555555547,-0.0421666666666666,1,0,0.20476,0.0778708066371203,0.0525,0.3762,0.3237,0.3762,0.0086999999999999,0.3237,-0.2538,0.0004578947368421,0.4738888888888903,-0.7779166666666666,1,0,0.13563,0.1221850326780097,-0.07,0.49,0.56,0.49,-0.0262,0.2187,-0.3062,-0.001378947368421,0.9237500000000032,-1.1083333333333334,1,0,0.2344949999999999,0.0332923015441297,0.1925,0.2975,0.1049999999999999,0.2975,0.0436999999999999,0.0875,-0.0875,0.0022999999999999,0.3524999999999996,-0.1748333333333336,1,0
hard_accel,1.0196726197824648,1.065108111883484,0.9917494693721798,0.0733586425113042,0.988898456784956,1.9862384373483464,0.3705451254570757,1.6156933118912704,-0.210245,0.1072467272227922,-0.3402,0.0117,0.3519,0.3402,-0.3201,0.0317999999999999,-0.0627,-0.0168473684210526,-0.0074999999999991,-0.6561666666666675,0,0,-0.0056799999999999,0.0142165063440909,-0.0373,0.0137,0.051,0.0373,-0.0482999999999999,0.0371,-0.0193,-0.0025421052631578,0.0494999999999999,-0.1090000000000003,0,0,0.99234,0.0089259762845068,0.9767,1.0188,0.0420999999999999,1.0188,0.0264999999999999,0.0298999999999999,-0.0145999999999999,0.0013947368421052,0.073500000000001,-0.0496666666666651,0,0,0.1238049999999999,0.3173581033519672,-0.5775,0.7,1.2775,0.7,-0.4113,0.3674999999999999,-0.6475,-0.0216473684210526,1.4291666666666658,-3.52933333333333,1,0,0.720985,0.6004551179817909,-0.1488,1.9688,2.1176,1.9688,-0.2888,0.6913,-0.7,-0.0151999999999999,5.731500000000009,-6.6793333333333385,1,0,0.406425,0.2086840797271774,0.1925,0.875,0.6825,0.875,0.3849,0.4638,-0.3411999999999999,0.0202578947368421,1.2468333333333348,-0.802222222222222,0,0
hard_accel,1.0445965531199524,1.1699307073497986,0.9617821011019076,0.208148606247891,1.7618579919782866,3.0209402211894227,0.9179484626056084,2.1029917585838143,-0.378525,0.0508835810039886,-0.4529,-0.2943,0.1586,0.4529,-0.0070999999999999,0.1437,-0.1049,-0.0003736842105263,0.4191666666666664,-0.3154999999999996,1,0,-0.015065,0.0546237009962371,-0.1311,0.1134,0.2445,0.1311,0.0315,0.1761,-0.144,0.0016578947368421,0.2551666666666664,-0.4683333333333329,1,3,0.9703,0.0623442058254012,0.8689,1.1068,0.2379,1.1068,-0.0257,0.1574999999999999,-0.1496999999999999,-0.0013526315789473,0.3406666666666691,-0.4274999999999975,1,0,0.303625,1.0419912894246488,-1.7413,2.24,3.9813,2.24,0.5162,2.3362000000000003,-3.9813,0.0271684210526315,6.329333333333327,-7.704722222222215,1,0,0.1933799999999999,1.045407992175908,-0.945,2.9313,3.8763,2.9313,-1.3125,2.4501,-3.8238,-0.069078947368421,8.662500000000051,-7.02916666666666,1,0,1.0499999999999998,0.301579386423856,0.5075,1.5575,1.0500000000000005,1.5575,-0.035,0.4376,-0.7437000000000001,-0.0018421052631578,2.493833333333332,-1.8813333333333393,1,0
